type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,180.1,49.8,74.4,118.4,129.1,176.7,193.8,203.1,211.3,219.8,231.7,250.5,304.2,505.2,1559.7,4954.8,5000
read,202.1,65.4,68.9,118.8,134.1,199.2,220.6,231.9,240.5,251.3,266.1,289.8,344.2,998.7,2090.9,10014.2,10000
read,215.9,81.8,68.9,114.3,130.3,214.8,239.3,252.6,263.2,274.7,291.0,315.3,372.7,689.5,2334.3,14942.6,15000
read,227.5,140.2,68.9,113.6,128.5,223.6,252.0,268.4,280.0,293.3,311.1,338.1,421.1,1379.3,6187.4,20014.8,20000
read,237.4,100.2,63.8,114.6,129.8,235.1,270.4,288.7,301.0,315.7,335.4,368.7,452.4,680.0,2371.2,24988.6,25000
read,253.3,114.4,63.8,114.9,131.2,247.3,287.4,308.2,322.1,340.0,366.7,412.1,526.0,1442.8,3217.5,29962.8,30000
read,269.9,112.7,63.8,111.1,129.5,265.3,309.5,332.2,348.1,373.7,407.3,459.6,557.9,767.8,2617.0,35012.4,35000
read,254.5,116.2,68.9,109.7,123.9,243.8,291.0,315.6,333.2,355.9,392.4,442.9,548.7,962.7,2566.1,39975.8,40000
read,278.8,131.0,63.8,109.6,126.9,266.6,315.6,342.8,369.0,400.8,440.8,505.0,611.1,1249.6,2197.3,44923.2,45000
read,291.3,138.6,63.8,110.8,128.7,273.8,328.4,363.8,393.7,428.2,471.5,540.2,679.4,969.0,2304.5,50046.4,50000
read,287.7,151.6,63.8,110.8,127.1,265.2,324.1,361.6,393.8,430.6,480.7,547.0,676.3,1196.2,3059.1,54790.6,55000
read,290.4,137.9,63.8,111.9,130.2,272.7,328.7,366.4,397.3,432.4,474.7,538.2,660.2,841.2,2176.7,59981.0,60000
read,301.5,144.2,63.8,114.5,135.2,284.6,340.7,381.5,412.0,447.4,490.5,549.3,667.8,858.8,3724.7,64973.8,65000
read,338.0,170.7,63.8,124.5,150.5,310.6,384.0,429.4,461.8,499.5,546.6,624.3,823.1,1308.9,3227.2,70082.8,70000
read,821.5,354.4,74.4,389.1,579.9,775.0,815.2,846.8,866.6,920.9,1259.3,1509.4,1688.1,6717.0,7509.4,74526.5,75000
read,886.3,345.0,101.3,684.2,707.2,796.9,838.0,860.8,879.7,937.4,1412.3,1559.7,1721.8,7041.9,7526.0,74194.6,80000
