type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,225.5,473.5,59.1,91.0,99.8,142.7,160.0,170.7,180.4,195.7,233.8,354.6,2259.4,7754.5,8977.0,4938.2,5000
read,290.9,690.8,63.8,95.9,107.2,166.0,188.8,207.6,225.6,253.2,313.3,1249.0,2311.4,8815.1,18340.4,9971.8,10000
read,299.2,435.8,63.8,99.6,112.5,187.1,225.5,248.9,269.0,302.4,381.5,1289.8,2242.6,6555.9,7977.5,15016.6,15000
read,319.9,409.6,59.1,99.9,113.0,210.1,252.1,277.0,301.0,343.3,454.9,1306.9,2098.7,2658.0,7929.2,20020.2,20000
read,343.5,411.1,59.1,100.1,114.0,233.3,278.0,307.4,334.9,389.4,544.3,1327.4,2033.9,2520.6,7768.4,25068.3,25000
read,365.6,542.3,63.8,102.0,115.7,245.7,293.9,324.9,355.0,418.0,881.9,1339.2,2015.3,3830.0,21015.9,30042.0,30000
read,378.6,504.8,59.1,102.7,117.2,258.7,313.1,347.4,385.0,463.7,962.7,1342.8,1940.8,2634.0,20301.5,35070.6,35000
read,417.3,450.3,63.8,105.7,122.2,273.3,338.6,390.2,457.6,576.1,1286.9,1376.4,1948.8,2527.2,7904.7,40112.0,40000
read,413.9,411.4,63.8,111.6,132.2,289.1,362.3,423.4,496.4,613.0,900.7,1360.2,1981.1,2554.6,7674.0,44862.4,45000
read,833.0,879.0,63.8,145.4,189.3,510.9,642.6,932.2,1306.8,1819.6,2375.9,2566.7,3111.2,7918.7,9387.6,49917.2,50000
read,1379.4,1108.4,68.9,452.1,501.7,718.4,1993.9,2406.0,2492.3,2587.2,2732.4,3028.4,3538.6,8067.9,9810.9,48922.5,55000
read,1354.7,1110.3,74.4,451.0,492.9,681.5,1907.1,2405.8,2481.3,2556.7,2730.9,3014.1,3655.2,8079.0,9988.0,50098.0,60000
read,1383.9,1104.9,80.4,471.2,513.8,703.0,2007.8,2416.1,2495.3,2581.7,2727.7,3037.5,3467.8,8084.0,10102.4,49072.6,65000
read,1364.6,1106.3,86.8,450.4,494.3,692.5,1964.7,2406.1,2486.1,2566.5,2734.9,3025.9,3480.1,8070.8,10174.9,49759.8,70000
read,1365.0,1111.1,101.3,460.0,501.0,685.4,1977.6,2411.9,2486.3,2560.8,2731.5,3029.3,3479.6,8078.3,10229.3,49812.6,75000
read,1389.7,1121.6,86.8,468.3,511.8,703.5,2075.2,2420.7,2502.1,2597.0,2740.9,3045.3,3784.9,8107.0,10693.8,48953.6,80000
