type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,174.0,57.1,63.8,110.7,121.7,168.5,186.1,196.9,204.7,214.9,229.1,253.0,319.1,471.8,2077.1,5011.2,5000
read,196.1,67.5,68.9,110.8,125.8,192.9,215.9,228.9,237.9,249.6,264.5,287.7,339.9,513.4,2172.8,9982.4,10000
read,212.3,69.1,68.9,110.0,126.4,210.7,238.2,252.3,262.9,274.3,291.1,316.8,385.4,525.9,1442.0,14994.6,15000
read,229.0,84.3,63.8,110.3,126.2,227.9,259.2,274.9,287.3,300.7,318.3,348.2,446.8,781.0,1946.0,20019.6,20000
read,240.1,93.0,68.9,110.2,126.2,239.0,273.9,292.3,305.5,320.1,341.0,380.8,477.3,607.4,2012.1,24982.2,25000
read,246.6,92.9,63.8,110.5,126.0,244.6,282.9,303.1,317.1,334.7,359.7,409.9,501.4,613.5,1098.2,30053.8,30000
read,259.5,108.6,63.8,105.6,122.6,256.6,297.4,319.1,336.0,358.6,395.6,450.2,535.5,664.1,1584.8,35071.2,35000
read,263.5,118.0,68.9,110.0,125.6,253.8,298.6,323.6,342.8,373.0,415.8,468.3,566.3,847.5,2445.6,39908.6,40000
read,275.7,134.0,68.9,109.4,126.0,262.6,310.4,337.9,363.6,400.3,442.1,495.0,603.5,1483.8,2208.8,45077.8,45000
read,286.9,143.3,63.8,112.0,130.1,270.3,320.2,351.8,385.1,423.4,464.3,518.4,660.0,1256.0,2812.5,50129.0,50000
read,296.0,140.5,68.9,115.1,133.9,273.6,331.2,374.1,410.3,447.7,489.7,549.4,701.9,984.4,1525.4,54924.2,55000
read,889.5,562.4,63.8,180.8,252.3,966.9,1049.9,1086.5,1116.5,1157.2,1220.1,1771.1,2182.2,7689.0,9913.9,58930.4,60000
read,1111.1,486.6,74.4,809.7,865.6,1034.0,1083.1,1113.4,1146.0,1178.5,1300.5,1939.8,2215.4,7737.3,8732.6,59594.7,65000
read,1115.4,488.2,109.4,818.9,868.4,1028.3,1079.8,1108.8,1143.9,1179.0,1308.5,1933.8,2223.4,7778.3,8975.6,59875.6,70000
read,1125.6,489.8,86.8,825.4,878.1,1039.7,1089.9,1126.0,1154.9,1183.7,1306.7,1952.0,2252.9,7793.8,9470.4,59314.6,75000
read,1118.2,495.5,86.8,818.9,869.6,1029.7,1080.9,1111.2,1146.4,1181.5,1339.0,1938.0,2239.5,7794.1,10004.3,59790.2,80000
