type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,249.9,363.3,68.9,110.8,121.6,166.7,185.9,199.0,210.6,229.0,327.8,750.3,1604.7,5154.2,7915.8,4963.2,5000
read,312.2,432.3,63.8,110.1,126.2,197.0,226.2,247.7,267.8,324.4,557.8,1347.9,2162.9,5062.3,9871.2,10010.8,10000
read,362.1,458.4,68.9,109.7,126.1,216.2,254.0,282.4,321.2,524.5,688.3,1514.0,2322.5,3274.1,7465.3,14902.8,15000
read,406.5,510.9,63.8,109.0,125.6,238.7,286.3,335.4,489.3,624.2,883.6,1553.8,2210.2,6443.9,11325.0,20043.2,20000
read,440.9,487.4,63.8,111.7,131.5,264.6,333.9,466.5,557.5,694.6,1167.6,1573.0,2170.5,2763.7,7837.1,25024.6,25000
read,427.3,450.0,68.9,115.1,135.2,275.5,357.0,472.7,557.5,681.2,872.2,1535.2,1967.3,2756.1,9503.8,29892.0,30000
read,522.4,517.5,68.9,120.5,148.7,329.0,483.3,586.6,710.6,867.2,1458.7,1634.3,2238.1,3592.4,7723.2,34836.0,35000
read,1790.1,1327.6,68.9,598.1,703.3,931.9,2728.8,2831.3,2881.4,2931.6,2981.7,3610.9,7613.6,8131.2,11256.1,37109.4,40000
read,1865.8,1345.6,86.8,697.8,734.0,958.6,2748.6,2842.3,2894.9,2947.4,3161.2,3676.2,7671.7,8275.3,12058.1,37103.8,45000
read,1886.5,1332.0,101.3,698.3,736.5,1191.1,2720.2,2831.5,2887.3,2943.1,3077.1,3632.5,7706.7,8860.6,12303.0,36901.4,50000
read,1822.5,1297.4,93.8,681.8,716.7,1000.9,2662.8,2779.3,2847.0,2914.7,2982.4,3552.5,7654.7,8132.1,10946.1,38029.6,55000
read,1884.7,1299.0,86.8,707.3,749.3,1458.1,2656.8,2802.8,2864.6,2926.5,2988.3,3596.3,7693.0,8868.7,11700.0,36925.2,60000
read,1884.9,1351.2,93.8,708.2,749.8,977.8,2782.9,2856.3,2902.2,2948.0,3023.5,3677.3,7686.9,8881.0,11891.4,36916.8,65000
read,1907.1,1321.4,109.4,719.5,760.5,1522.4,2684.0,2817.5,2874.2,2930.9,2987.5,3605.9,7720.7,9617.7,14813.2,36558.0,70000
read,1853.1,1323.5,101.3,700.0,734.0,942.9,2745.1,2840.1,2891.8,2943.5,3043.2,3643.3,7640.7,8128.5,10216.2,37327.2,75000
read,1868.4,1300.6,137.8,702.9,741.3,1359.2,2656.9,2800.8,2862.9,2925.0,2987.2,3590.4,7693.5,8134.3,10243.5,37276.8,80000
