type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,161.8,77.0,63.8,104.9,114.4,158.8,174.6,183.6,190.0,198.0,208.7,225.5,262.6,427.8,4487.9,4970.0,5000
read,188.3,67.8,68.9,106.9,119.9,185.9,207.3,218.4,227.7,237.6,251.7,272.1,319.7,686.4,2200.0,9993.2,10000
read,207.6,218.3,68.9,109.6,123.0,204.4,229.6,243.4,253.3,265.4,279.4,300.6,347.3,520.3,15973.2,14985.8,15000
read,219.4,76.1,63.8,108.0,122.1,220.0,250.6,266.6,277.2,290.4,306.5,330.8,392.2,635.2,1617.1,19985.6,20000
read,230.4,88.5,63.8,109.8,123.5,229.6,266.0,284.2,296.3,311.6,330.4,360.0,434.4,576.0,1363.4,25118.2,25000
read,235.6,90.0,68.9,108.9,122.5,234.4,273.5,292.8,306.5,321.1,341.7,372.5,451.2,580.5,1669.1,29966.8,30000
read,245.3,96.4,68.9,107.6,122.7,243.0,285.6,306.8,321.4,339.2,362.1,401.9,483.1,586.7,1211.9,35013.8,35000
read,251.7,113.9,63.8,107.6,122.2,245.6,289.6,313.2,330.4,350.6,378.2,429.3,514.4,778.7,3054.6,39934.4,40000
read,264.3,152.0,63.8,107.5,122.9,254.5,300.2,325.8,344.3,368.2,405.9,458.7,562.0,1536.5,3694.2,44889.0,45000
read,272.6,137.9,63.8,109.4,125.6,259.6,308.7,335.8,357.0,386.9,430.7,485.3,626.1,1324.3,2907.1,49916.2,50000
read,284.5,137.9,63.8,112.8,130.5,267.5,320.3,352.5,379.2,419.0,461.2,522.6,670.3,1005.2,1945.0,54870.4,55000
read,947.6,528.1,68.9,230.3,325.3,965.3,1043.9,1082.4,1112.6,1161.7,1262.0,1793.3,2170.7,7592.3,9279.8,59546.0,60000
read,1118.9,510.6,86.8,817.3,875.2,1039.1,1088.5,1122.9,1151.7,1180.5,1279.9,1941.3,2264.9,7855.2,9389.7,59450.8,65000
read,1129.2,507.2,86.8,825.4,877.8,1039.5,1092.1,1131.7,1161.2,1195.9,1330.6,1951.0,2278.1,7851.1,9519.2,59187.8,70000
read,1154.2,531.5,86.8,838.3,890.1,1058.8,1116.5,1153.9,1177.4,1228.6,1365.8,1988.8,2344.0,7918.4,9745.9,58059.5,75000
read,1127.9,507.4,93.8,829.3,880.6,1041.4,1090.4,1126.0,1154.4,1182.8,1287.2,1952.7,2261.4,7858.7,9547.0,59295.2,80000
