type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,201.6,230.8,74.4,129.5,138.2,181.3,206.3,222.9,233.6,246.9,263.1,288.8,369.6,2382.8,10461.1,4985.2,5000
read,237.1,321.4,80.4,125.9,139.0,219.6,253.6,270.5,282.7,296.3,316.5,346.8,446.7,3214.2,13531.1,10045.0,10000
read,256.4,277.4,74.4,122.6,137.4,246.3,284.6,304.2,318.2,335.9,358.4,395.6,497.4,2377.0,11864.8,14979.8,15000
read,283.2,306.4,74.4,120.7,135.8,263.0,308.6,332.7,349.7,371.6,400.8,454.4,806.0,3468.2,8024.7,20073.8,20000
read,308.8,283.7,74.4,118.9,135.0,285.4,337.4,366.2,387.1,411.4,444.1,499.5,956.2,4421.5,7825.9,24939.2,25000
read,314.1,281.9,68.9,116.6,133.0,292.5,350.4,382.9,405.6,433.2,467.8,527.0,888.3,5655.6,7815.5,30065.6,30000
read,342.6,436.3,68.9,115.9,133.6,303.3,366.0,400.8,427.1,458.4,500.3,580.0,1220.1,7197.1,17881.0,35120.4,35000
read,330.1,244.0,74.4,114.6,133.1,307.4,374.5,412.9,440.2,471.6,512.0,580.3,873.0,3609.5,7712.8,40189.2,40000
read,367.8,344.4,68.9,116.5,138.0,323.5,400.3,444.8,475.9,514.2,569.1,686.2,1291.1,5465.3,8453.7,45018.2,45000
read,531.5,536.5,74.4,122.7,151.3,374.0,490.3,585.2,737.4,1030.4,1204.9,1339.5,2270.5,7616.7,8112.7,50089.2,50000
read,577.1,502.5,68.9,133.5,171.5,433.9,602.8,767.4,902.3,1029.7,1139.4,1274.1,2184.0,7276.3,8110.3,55040.4,55000
read,552.4,498.8,68.9,129.8,163.3,426.7,617.2,768.3,847.3,921.5,1003.7,1172.7,1975.0,7217.8,9658.5,60089.2,60000
read,614.5,471.6,68.9,147.8,192.7,540.0,734.9,813.2,865.4,929.5,1022.4,1278.6,1926.7,6818.1,8418.6,64842.2,65000
read,441.8,331.1,68.9,128.7,159.2,367.7,481.2,557.2,619.7,690.3,770.4,924.2,1478.7,3911.7,7736.8,70061.0,70000
read,628.0,422.9,68.9,167.7,222.3,613.7,717.0,767.2,805.2,864.0,994.9,1320.1,1743.2,5162.3,7986.8,74400.6,75000
read,963.8,436.4,127.6,697.2,727.5,863.7,931.4,981.6,1018.8,1099.5,1406.1,1651.3,2020.3,7341.2,8758.4,68588.2,80000
