type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,196.4,245.5,80.4,129.9,139.5,182.9,200.4,211.3,218.5,228.7,241.4,265.9,359.9,1554.5,13464.7,4937.6,5000
read,222.4,83.4,74.4,129.4,143.6,216.2,241.4,255.6,267.7,281.0,296.6,324.1,426.0,1002.5,2035.9,10024.2,10000
read,244.6,132.0,74.4,123.9,140.1,232.8,266.2,284.8,296.7,312.8,333.5,370.0,558.7,1724.9,2879.6,15020.4,15000
read,269.4,234.8,74.4,120.6,137.0,248.2,288.1,309.2,323.7,342.2,370.2,423.7,768.4,3677.6,7591.7,19976.0,20000
read,286.5,275.0,74.4,119.7,137.1,261.8,307.5,332.1,350.1,374.2,411.9,461.5,781.3,5206.7,7760.9,25097.2,25000
read,307.1,367.3,68.9,117.0,134.9,269.2,319.5,347.1,371.9,405.4,442.3,499.7,999.8,6908.8,7962.7,29855.2,30000
read,318.8,391.2,68.9,112.7,129.7,271.3,327.8,364.6,396.9,430.9,469.7,536.2,1166.3,6692.3,8094.7,35001.7,35000
read,304.8,297.4,68.9,110.7,127.5,275.6,332.2,369.8,403.3,436.3,472.2,527.1,770.0,4894.6,8041.6,40093.6,40000
read,314.9,294.1,68.9,110.9,127.6,278.2,339.9,384.6,418.8,453.1,493.2,556.6,905.2,4393.3,9922.7,44957.8,45000
read,320.8,253.2,68.9,111.2,129.9,288.5,351.5,399.7,432.0,465.7,505.4,573.7,913.9,3342.2,7996.9,49909.8,50000
read,319.7,202.5,68.9,112.6,132.9,292.0,357.7,405.5,438.2,472.1,512.5,581.0,849.8,2194.9,4946.9,54875.8,55000
read,392.5,364.8,68.9,121.4,147.4,325.3,417.8,469.4,506.5,556.7,642.9,804.6,1514.6,5355.3,7963.3,59830.6,60000
read,468.2,352.0,68.9,145.2,184.0,407.3,510.5,573.0,624.8,694.0,782.7,929.7,1562.1,4214.1,7892.5,65087.5,65000
read,907.8,429.5,74.4,526.4,693.8,838.0,872.1,905.3,927.0,970.1,1321.7,1637.3,1880.9,7256.7,8041.4,69163.7,70000
read,924.3,393.8,93.8,704.8,745.2,836.8,868.1,898.3,922.6,963.1,1436.4,1627.8,1820.9,7229.3,8110.5,70836.8,75000
read,921.7,386.7,93.8,708.2,740.6,828.5,861.1,882.9,914.4,956.2,1457.0,1612.8,1815.2,7203.3,8403.1,71512.3,80000
