type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,237.0,379.3,63.8,100.9,110.6,157.5,176.2,187.2,197.4,211.8,252.1,676.4,1626.8,7042.5,7634.5,5022.4,5000
read,289.3,398.0,63.8,103.4,116.0,183.0,208.8,225.8,241.6,273.4,537.7,1318.0,1739.9,2740.0,7536.1,10016.4,10000
read,338.6,429.9,63.8,103.5,118.2,207.3,240.9,266.7,294.3,498.9,650.0,1511.4,2222.1,2732.8,7484.7,14986.6,15000
read,367.8,437.6,63.8,106.1,121.3,226.0,270.7,307.8,378.0,559.2,725.7,1529.1,2103.6,2744.1,7480.7,19962.4,20000
read,417.5,481.3,63.8,106.6,123.4,246.1,305.5,377.1,534.7,667.2,934.0,1575.1,2190.0,3097.2,7620.4,24931.2,25000
read,388.2,408.1,63.8,111.1,131.1,264.0,332.2,402.2,503.8,593.6,756.4,1286.3,1740.4,2715.0,10708.3,30009.4,30000
read,528.0,527.8,63.8,115.6,142.0,326.2,488.3,599.4,729.6,887.8,1524.9,1651.7,2154.8,3533.4,7683.7,35108.4,35000
read,773.7,782.2,63.8,141.0,183.9,487.6,707.9,889.2,1402.0,1607.9,1789.4,2447.1,2925.8,7731.7,8992.7,39668.0,40000
read,1846.8,1271.1,109.4,695.2,732.5,1449.8,2605.5,2734.6,2815.3,2896.0,2976.7,3510.1,7674.3,8355.7,10353.8,37541.0,45000
read,1812.1,1256.7,80.4,684.0,719.5,1302.7,2586.5,2700.2,2771.3,2868.9,2966.6,3461.4,7641.1,8126.5,10096.7,38163.2,50000
read,1853.9,1265.1,148.8,698.9,737.0,1492.7,2590.8,2723.9,2806.4,2888.0,2969.5,3482.9,7684.6,8134.5,10914.8,37477.8,55000
read,1841.5,1272.6,86.8,688.5,726.8,1410.0,2589.1,2716.8,2798.9,2885.7,2972.5,3492.4,7682.0,8386.9,11322.4,37812.8,60000
read,1873.3,1275.2,101.3,707.7,751.4,1522.8,2616.3,2753.8,2830.9,2905.7,2980.5,3529.0,7692.3,8132.7,10370.6,37123.2,65000
read,1847.1,1260.7,86.8,701.4,741.0,1477.3,2591.5,2721.7,2804.0,2887.9,2971.9,3507.7,7657.6,8139.0,11736.8,37513.3,70000
read,1849.1,1274.6,93.8,695.9,733.1,1447.5,2596.6,2721.7,2802.6,2888.1,2973.6,3497.5,7684.6,8222.6,11423.0,37631.2,75000
read,1830.6,1268.9,80.4,693.5,727.3,1343.2,2594.8,2716.6,2796.4,2885.5,2974.6,3486.1,7658.3,8766.7,10689.4,37911.2,80000
