type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,234.6,153.0,93.8,154.5,164.5,215.5,239.6,254.1,265.9,279.4,297.9,334.0,622.5,1685.9,7257.6,4998.4,5000
read,277.1,191.4,86.8,154.1,169.6,254.0,291.6,312.6,327.8,345.6,371.4,431.0,860.7,2399.5,7638.0,9975.0,10000
read,336.9,434.2,80.4,148.6,166.8,280.4,329.1,357.4,380.4,418.3,458.2,523.2,1734.6,6895.1,8083.9,14987.3,15000
read,444.5,783.2,80.4,143.5,165.1,302.0,364.7,414.9,448.7,485.6,541.9,865.4,4983.1,8192.5,15180.7,19888.4,20000
read,398.3,540.6,68.9,139.4,164.0,322.2,398.9,447.4,476.0,509.9,558.0,664.2,1882.6,7826.1,14568.4,24890.0,25000
read,424.8,556.3,80.4,135.1,160.5,333.5,430.1,478.0,510.8,552.4,617.4,798.6,2217.1,7896.2,11369.3,29989.8,30000
read,483.2,553.9,74.4,143.4,178.5,379.7,482.2,534.3,576.9,633.7,745.8,1127.9,2216.9,7497.4,11796.8,35099.2,35000
read,493.8,515.3,74.4,144.6,180.6,396.5,503.1,564.6,614.2,689.4,832.3,1142.8,2024.0,7685.8,10729.4,39868.2,40000
read,911.5,652.6,74.4,253.4,328.7,862.9,1072.6,1154.0,1208.1,1270.9,1373.6,1729.4,2664.3,7926.6,9388.0,45100.1,45000
read,1526.5,842.7,187.4,1196.5,1223.0,1356.1,1411.3,1450.4,1474.8,1506.9,1616.7,2545.1,7585.1,8135.4,10576.2,45390.2,50000
read,1538.2,932.8,101.3,1171.1,1206.7,1345.4,1397.7,1443.7,1472.4,1514.7,1672.1,2575.0,7630.7,8462.2,15945.2,45169.0,55000
read,1459.0,792.0,137.8,1128.6,1189.1,1317.0,1363.2,1385.0,1422.0,1461.3,1520.1,2443.8,7361.0,8113.4,10056.4,47440.4,60000
read,1567.6,884.7,118.1,1207.5,1246.8,1381.8,1444.8,1475.2,1494.2,1563.4,1701.7,2630.0,7618.5,8412.2,12341.0,44427.2,65000
read,1572.1,828.2,127.6,1232.3,1289.6,1425.3,1472.8,1495.1,1531.9,1572.4,1613.0,2591.1,7599.1,8118.2,10137.3,44314.9,70000
read,1477.0,839.2,437.0,1138.6,1189.7,1311.5,1360.9,1384.2,1425.9,1472.1,1586.5,2474.2,7495.4,8396.2,14512.0,46920.8,75000
read,1436.7,762.0,160.7,1132.2,1187.5,1303.3,1349.2,1370.8,1384.3,1433.1,1487.5,2404.6,7160.8,8125.3,10195.8,48096.8,80000
