type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,199.3,83.7,63.8,105.5,121.2,196.6,214.3,225.0,232.9,243.8,257.9,281.6,358.0,1010.2,2471.5,4976.6,5000,1746383337360,1746383342589
read,214.5,86.4,59.1,117.3,142.8,209.4,229.1,240.4,249.5,260.7,275.2,306.4,426.2,972.4,3222.2,10083.4,10000,1746383344094,1746383349308
read,228.9,94.9,68.9,128.7,149.6,225.8,248.8,261.5,270.4,281.7,295.9,321.8,410.0,969.7,3036.1,14913.0,15000,1746383350812,1746383356000
read,231.0,76.2,68.9,128.6,146.5,229.9,254.5,267.9,276.7,289.2,304.9,332.3,422.8,675.7,1946.2,20008.8,20000,1746383357505,1746383362691
read,237.9,87.8,63.8,128.3,143.8,236.7,265.1,279.6,290.3,302.9,319.2,348.5,466.3,709.0,2023.3,24898.2,25000,1746383364195,1746383369384
read,237.7,98.4,63.8,127.1,140.7,237.3,268.0,283.5,294.0,307.3,322.3,350.7,432.6,737.0,2841.1,30105.0,30000,1746383370887,1746383376073
read,243.9,117.2,68.9,124.7,138.4,236.8,270.6,288.2,300.5,315.4,336.8,381.4,584.6,1160.6,4023.1,34963.9,35000,1746383377577,1746383382765
read,249.5,107.7,63.8,123.1,136.1,246.1,283.2,301.7,314.8,331.1,352.6,394.6,568.5,1062.4,2305.6,39987.8,40000,1746383384270,1746383389459
read,237.8,95.8,63.8,123.5,135.1,232.9,272.7,291.8,305.2,319.7,340.5,374.2,479.1,749.2,2602.4,44930.4,45000,1746383390963,1746383396150
read,239.8,126.2,63.8,123.2,134.8,229.7,272.4,293.1,307.9,324.5,346.7,390.8,525.8,827.9,2935.7,50058.4,50000,1746383397654,1746383402841
read,249.6,132.7,63.8,121.5,133.2,234.3,279.7,302.3,317.8,337.4,365.6,423.2,663.3,1485.5,3075.3,55039.0,55000,1746383404345,1746383409531
read,240.5,104.2,68.9,119.7,130.8,228.3,277.6,300.9,316.6,335.4,360.7,402.6,535.2,783.6,2639.4,59929.2,60000,1746383411036,1746383416222
read,236.2,102.0,68.9,119.3,130.1,222.5,273.0,297.2,313.9,332.7,356.7,396.9,498.5,710.7,1911.7,64975.6,65000,1746383417726,1746383422914
read,239.9,106.5,63.8,119.9,130.8,224.2,276.7,302.6,319.6,339.5,366.2,408.5,513.3,740.9,3052.2,70027.0,70000,1746383424418,1746383429606
read,234.6,97.6,68.9,119.5,130.1,217.3,269.8,296.4,314.4,334.9,361.3,401.1,488.5,663.6,1806.4,75115.6,75000,1746383431109,1746383436297
read,241.8,196.2,68.9,120.5,131.5,220.0,272.4,300.0,318.8,340.9,371.2,420.5,549.1,869.7,5125.6,80107.5,80000,1746383437801,1746383442987
read,237.7,108.0,63.8,119.7,130.5,215.9,267.6,295.5,315.0,337.8,368.5,420.2,556.7,911.8,2394.1,84839.4,85000,1746383444491,1746383449679
read,243.7,116.5,68.9,120.9,132.5,222.6,274.7,303.6,323.5,346.7,380.1,430.7,545.6,783.9,3676.4,90020.2,90000,1746383451183,1746383456370
read,248.0,122.7,63.8,122.5,134.6,224.8,277.1,306.5,327.2,352.1,387.2,442.8,593.4,868.7,3403.5,94744.5,95000,1746383457874,1746383463061
read,292.4,237.0,63.8,127.8,141.7,244.8,303.0,336.9,363.8,398.6,450.5,560.8,1175.3,3075.1,4935.3,99964.2,100000,1746383464565,1746383469752
read,264.8,123.4,74.4,129.6,143.7,240.7,294.6,325.4,347.8,377.3,415.7,473.1,626.8,901.1,2280.5,105082.1,105000,1746383471257,1746383476443
read,252.1,125.8,68.9,126.9,139.8,228.1,278.2,307.4,328.3,354.4,390.3,448.9,612.0,1011.3,2993.6,109906.0,110000,1746383477947,1746383483133
read,259.6,169.9,74.4,131.5,146.0,237.3,288.1,317.4,338.9,364.9,398.4,450.0,562.1,784.7,4368.6,115057.9,115000,1746383484637,1746383489823
read,264.4,118.5,68.9,136.4,151.5,244.5,293.8,322.3,343.7,369.3,401.7,451.7,558.2,748.1,4169.8,120040.0,120000,1746383491328,1746383496515
read,300.9,146.7,63.8,148.5,167.5,277.1,333.0,366.3,390.9,420.1,458.2,520.8,686.1,1125.0,4203.8,125068.9,125000,1746383498020,1746383503206
read,301.6,140.0,74.4,153.6,173.4,279.5,331.7,362.6,385.7,413.6,450.9,511.9,680.8,1086.9,5165.7,130067.0,130000,1746383504710,1746383509897
