c#type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,214.7,117.0,74.4,116.7,130.2,213.5,232.9,244.2,251.9,262.4,274.8,297.2,382.6,1012.7,6726.8,4972.2,5000,1746381501229,1746381506449
read,228.3,84.1,74.4,130.2,150.7,226.9,247.3,258.5,267.1,276.0,291.5,317.1,395.8,948.8,3232.3,9999.0,10000,1746381507952,1746381513166
read,235.9,105.0,68.9,130.4,148.7,232.6,255.0,268.5,277.5,289.9,305.9,336.1,457.0,906.7,3913.4,15048.8,15000,1746381514671,1746381519855
read,237.1,80.5,68.9,131.8,148.3,236.1,261.3,274.2,285.0,296.2,313.3,342.5,433.2,629.8,1984.4,20082.8,20000,1746381521358,1746381526544
read,244.9,106.9,68.9,131.7,146.5,242.6,269.8,284.6,294.9,309.1,327.7,365.3,491.3,804.0,2449.5,25010.8,25000,1746381528048,1746381533235
read,245.9,90.6,59.1,131.1,144.8,245.1,275.0,290.7,301.9,315.7,336.3,370.8,477.6,698.5,1893.5,29899.2,30000,1746381534740,1746381539924
read,249.3,96.5,59.1,128.7,141.8,245.3,279.7,296.7,310.5,326.5,349.9,392.7,539.4,854.8,2579.4,34941.3,35000,1746381541429,1746381546615
read,255.4,175.1,63.8,129.2,141.7,249.5,287.5,307.1,320.6,341.1,367.6,409.5,528.5,740.7,10622.8,39884.8,40000,1746381548120,1746381553306
read,257.5,106.4,59.1,128.9,141.3,248.8,290.9,312.6,329.3,351.8,382.2,429.8,574.7,833.1,2044.4,44973.2,45000,1746381554810,1746381559996
read,250.4,126.2,68.9,126.8,138.5,239.5,283.3,305.0,319.7,341.9,370.3,414.0,540.3,1033.4,4201.9,49996.8,50000,1746381561501,1746381566690
read,250.6,107.6,74.4,127.5,139.1,238.4,285.8,309.4,326.5,349.7,379.3,423.3,533.1,704.0,1999.5,54970.2,55000,1746381568194,1746381573381
read,259.2,168.2,63.8,126.8,138.9,240.8,290.7,316.6,338.6,365.7,399.1,452.5,593.8,931.5,11308.3,59877.4,60000,1746381574885,1746381580071
read,255.8,118.4,63.8,126.8,139.0,237.4,288.7,315.7,338.4,366.3,399.7,449.0,569.8,736.4,1600.4,65100.0,65000,1746381581575,1746381586762
read,252.5,121.1,68.9,124.0,136.0,232.0,283.8,311.6,333.5,361.4,396.3,449.3,579.1,834.4,2869.3,70066.8,70000,1746381588266,1746381593453
