type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,175.8,74.5,68.9,102.5,112.6,168.8,188.4,200.3,209.4,219.6,234.2,261.0,338.1,877.2,2124.2,4927.8,5000,1747173855120,1747173860335
read,190.4,72.1,68.9,108.8,121.1,185.0,207.7,220.6,230.0,241.4,256.8,282.5,346.5,853.0,2042.1,9935.2,10000,1747173861839,1747173867042
read,199.4,80.3,59.1,109.0,122.9,195.1,220.0,233.4,244.1,256.2,272.2,297.3,358.5,842.8,3795.7,14976.6,15000,1747173868544,1747173873714
read,206.1,68.6,63.8,108.5,121.7,203.9,231.3,246.1,256.3,269.7,287.0,313.9,375.5,622.0,1388.4,19960.0,20000,1747173875217,1747173880387
read,211.9,73.7,63.8,108.5,120.8,210.4,240.9,257.1,268.7,282.4,299.8,328.4,393.9,522.3,1557.4,24977.8,25000,1747173881891,1747173887064
read,213.4,78.7,63.8,106.3,117.6,211.3,245.7,263.5,275.2,290.1,308.6,337.3,397.7,504.1,1620.4,29945.6,30000,1747173888567,1747173893740
read,218.0,101.7,63.8,105.5,116.6,214.8,252.0,270.6,284.0,299.0,318.2,347.1,410.2,584.7,3154.6,34962.0,35000,1747173895245,1747173900417
read,225.2,122.3,63.8,106.6,117.8,218.7,260.2,279.9,293.6,310.0,330.4,363.2,449.6,1397.2,4437.1,39964.1,40000,1747173901921,1747173907093
read,219.7,106.4,68.9,104.7,115.2,213.3,258.1,279.5,293.7,310.4,330.7,361.5,429.0,591.6,3080.4,44876.0,45000,1747173908597,1747173913768
read,221.7,107.4,63.8,104.3,114.6,211.3,260.4,283.7,299.3,317.1,339.4,371.3,441.2,786.7,3211.5,49978.2,50000,1747173915272,1747173920444
read,219.5,95.2,68.9,102.4,112.6,209.1,259.6,283.9,299.9,317.9,340.4,372.2,441.0,602.1,1400.9,55203.2,55000,1747173921947,1747173927120
read,223.2,107.3,59.1,103.7,114.0,209.6,263.2,289.6,307.2,326.2,349.2,384.8,456.3,628.6,2245.0,59942.4,60000,1747173928623,1747173933799
read,224.8,107.4,63.8,103.8,114.0,209.6,263.6,291.2,309.7,330.3,355.1,391.4,464.9,674.8,2882.3,64932.6,65000,1747173935302,1747173940474
read,230.8,120.1,63.8,102.8,113.4,213.9,270.7,299.3,318.7,340.5,366.9,404.6,496.6,1136.1,3183.3,69793.4,70000,1747173941978,1747173947153
read,227.6,109.3,63.8,102.9,113.0,210.0,266.5,296.1,316.6,339.0,366.0,403.8,490.9,771.9,2019.6,74914.0,75000,1747173948656,1747173953831
read,225.1,103.0,63.8,103.6,113.7,204.9,261.8,293.1,314.5,338.1,366.1,404.1,486.2,657.4,1279.1,80145.8,80000,1747173955334,1747173960505
read,225.8,109.1,63.8,103.3,113.5,205.7,262.6,293.3,314.1,337.4,365.2,403.3,488.0,788.3,2244.0,84966.6,85000,1747173962008,1747173967180
read,230.0,112.7,63.8,104.5,115.1,207.7,266.6,299.0,321.0,345.3,374.2,417.1,505.7,821.7,3078.4,89980.3,90000,1747173968685,1747173973857
read,226.8,115.2,63.8,104.9,115.3,202.0,260.8,294.6,317.4,342.4,371.7,413.7,499.9,671.6,3843.2,95206.3,95000,1747173975362,1747173980534
read,238.0,126.8,63.8,106.6,117.5,210.3,273.8,311.9,337.2,364.3,396.2,442.8,546.9,726.8,1884.0,100193.3,100000,1747173982037,1747173987210
read,227.9,116.0,63.8,106.6,116.9,198.9,257.4,294.9,321.1,349.0,381.1,426.1,514.2,691.3,1815.0,105144.4,105000,1747173988714,1747173993885
read,249.0,136.8,63.8,109.9,121.5,215.4,280.1,321.9,350.2,381.1,418.2,473.1,623.0,1161.3,3586.1,109902.6,110000,1747173995390,1747174000562
read,251.7,132.1,59.1,111.3,123.3,214.1,281.2,326.4,357.3,391.2,431.3,494.8,641.1,900.5,2008.3,115299.8,115000,1747174002065,1747174007237
read,274.8,173.8,63.8,115.4,129.0,223.1,295.7,348.0,384.7,426.7,482.2,577.9,841.8,1376.1,3062.6,120162.2,120000,1747174008741,1747174013914
read,271.4,175.1,68.9,116.8,130.2,221.1,292.8,345.1,381.7,422.7,474.2,563.2,784.2,1378.4,3067.1,125165.2,125000,1747174015418,1747174020591
read,336.9,283.6,68.9,125.9,140.9,229.4,315.7,403.8,471.4,557.7,680.6,887.7,1375.7,2224.8,5870.0,130538.0,130000,1747174022095,1747174027270
read,474.3,524.9,68.9,149.4,169.1,251.5,300.7,374.4,670.1,1108.1,1335.5,1498.4,2423.7,3704.3,7786.4,130982.2,135000,1747174028774,1747174033946
read,492.4,549.4,68.9,152.6,172.1,256.8,309.0,372.8,750.7,1230.1,1373.5,1531.7,2486.9,3915.1,7900.4,129097.7,140000,1747174035449,1747174040624
read,478.9,578.0,68.9,156.5,176.5,245.1,282.8,324.2,526.6,1188.0,1365.0,1530.8,3030.4,4298.4,7982.0,135150.3,145000,1747174042128,1747174047303
read,512.5,638.6,74.4,155.9,179.2,265.1,308.5,355.2,555.7,1219.9,1410.2,1591.7,3268.5,5523.8,8069.8,127365.0,150000,1747174048807,1747174053980
read,511.1,621.2,74.4,158.2,182.0,263.5,305.7,353.9,590.4,1235.1,1406.9,1588.0,3140.4,5210.7,8027.8,127538.9,155000,1747174055484,1747174060658
