type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,204.1,97.0,63.8,111.6,123.0,200.6,219.3,230.8,239.0,250.4,266.1,291.8,377.1,1100.3,3560.5,5001.0,5000,1746382214670,1746382219877
read,217.0,106.7,63.8,122.3,143.2,213.3,233.0,244.8,252.9,264.0,276.8,302.3,384.1,922.9,4874.9,10013.0,10000,1746382221382,1746382226583
read,223.0,74.4,68.9,128.3,146.8,221.7,243.1,254.6,264.1,273.7,288.9,312.9,383.9,779.8,2029.4,14981.2,15000,1746382228087,1746382233256
read,229.8,73.8,68.9,129.7,145.8,227.8,251.3,264.3,273.0,285.1,299.8,329.0,446.8,778.4,2376.6,19954.9,20000,1746382234760,1746382239931
read,231.3,81.6,63.8,129.0,143.4,231.6,257.6,270.8,280.4,291.6,307.0,333.3,417.3,634.2,2123.1,24940.8,25000,1746382241435,1746382246604
read,240.5,77.1,68.9,132.3,146.0,240.9,270.0,285.4,295.8,309.3,325.3,356.6,436.8,613.8,946.8,29911.6,30000,1746382248108,1746382253278
read,241.0,99.2,63.8,128.3,140.9,238.9,271.5,288.0,299.1,313.3,332.4,366.8,475.7,822.9,3114.7,34981.6,35000,1746382254781,1746382259953
read,239.7,91.9,68.9,126.2,138.0,237.5,274.1,291.8,304.2,317.9,338.5,373.2,465.1,672.6,1858.8,39942.2,40000,1746382261458,1746382266629
read,247.0,112.7,63.8,125.1,137.3,238.4,279.1,298.4,312.9,330.5,355.8,401.1,575.2,918.4,2698.5,45072.2,45000,1746382268133,1746382273303
read,241.4,103.5,63.8,123.8,135.6,234.2,277.6,297.9,312.4,329.7,353.6,393.6,488.1,676.5,2995.2,49939.2,50000,1746382274807,1746382279978
read,238.9,108.5,63.8,123.1,134.4,229.4,275.6,296.7,311.3,328.2,350.8,389.4,475.5,690.7,3789.5,54963.0,55000,1746382281483,1746382286654
read,238.3,95.8,63.8,121.1,132.3,226.8,275.2,297.7,313.5,332.7,359.3,400.0,495.9,679.2,1693.3,60089.4,60000,1746382288157,1746382293328
read,243.6,103.7,68.9,121.8,133.3,227.9,278.4,302.9,319.8,342.2,371.9,420.9,553.7,778.8,1435.1,65184.8,65000,1746382294832,1746382300004
read,246.1,113.0,63.8,122.1,133.6,227.0,278.3,304.2,322.0,345.9,379.1,430.7,586.6,924.5,2802.6,70006.2,70000,1746382301508,1746382306680
read,243.9,109.1,68.9,119.8,131.3,224.9,277.5,304.4,322.7,347.2,380.6,430.7,564.7,840.1,1858.0,75201.8,75000,1746382308186,1746382313356
read,238.4,112.9,59.1,120.8,132.1,218.1,268.7,295.3,314.4,338.4,370.3,417.9,521.7,747.0,3521.7,79781.2,80000,1746382314860,1746382320032
read,240.3,108.3,68.9,119.5,130.8,219.4,272.0,299.8,319.3,344.7,378.4,426.8,534.1,754.7,2535.4,85198.8,85000,1746382321535,1746382326709
read,244.0,141.0,68.9,121.6,133.5,221.4,272.9,301.3,321.6,348.5,383.4,431.7,539.5,761.8,4302.0,90295.8,90000,1746382328214,1746382333386
read,244.1,138.3,68.9,121.8,133.4,221.0,272.6,301.7,322.9,351.0,387.1,436.5,547.8,729.9,4567.0,95176.7,95000,1746382334890,1746382340061
read,241.6,133.4,68.9,121.2,132.8,218.3,269.6,297.8,318.8,345.8,380.9,429.4,532.8,789.4,4626.7,100262.2,100000,1746382341565,1746382346739
read,246.3,125.1,68.9,125.0,137.3,223.3,273.4,302.6,324.3,352.9,388.1,437.6,550.4,767.8,2966.8,104937.6,105000,1746382348243,1746382353414
read,254.3,124.7,74.4,127.7,140.5,228.9,280.3,311.0,334.7,363.5,399.2,454.2,597.9,997.8,3591.6,109833.6,110000,1746382354919,1746382360091
read,259.9,124.2,63.8,131.5,145.3,234.9,286.7,317.9,342.2,370.3,405.1,460.5,590.0,862.6,4188.3,115168.9,115000,1746382361594,1746382366766
read,258.9,110.2,74.4,132.7,146.8,236.1,287.4,317.7,341.0,368.1,401.6,454.4,574.0,784.7,1721.9,120302.8,120000,1746382368270,1746382373442
read,266.4,126.4,74.4,139.1,154.5,245.3,294.5,325.0,347.8,373.9,405.3,453.0,555.7,756.3,2962.3,125099.9,125000,1746382374946,1746382380116
