timestamp,overall_cpu,per_cpu
1747174438.9122117,0.3,"[0.0, 2.0, 0.0, 1.0]"
1747174441.913026,1.0,"[2.0, 0.0, 0.0, 0.0]"
1747174444.9138436,0.8,"[1.1, 1.1, 0.0, 1.0]"
1747174447.9146376,0.8,"[1.1, 0.0, 1.0, 0.0]"
1747174450.915546,0.5,"[1.1, 1.1, 0.0, 1.0]"
1747174453.916381,1.1,"[0.0, 0.0, 2.0, 1.0]"
1747174456.917282,0.5,"[1.0, 0.0, 0.0, 1.0]"
1747174459.9181328,1.9,"[2.2, 0.0, 0.0, 2.1]"
1747174462.918998,0.3,"[1.0, 2.0, 2.0, 2.0]"
1747174465.9198632,1.1,"[0.0, 0.0, 0.0, 0.0]"
1747174468.920748,0.3,"[0.0, 1.1, 2.1, 1.0]"
1747174471.921653,1.3,"[1.2, 0.0, 1.0, 0.0]"
1747174474.922623,0.6,"[2.3, 1.2, 1.0, 2.1]"
1747174477.9236605,1.0,"[1.2, 1.1, 1.1, 0.0]"
1747174480.9246259,1.1,"[3.6, 2.4, 1.1, 1.1]"
1747174483.925635,1.3,"[1.0, 0.0, 0.0, 2.0]"
1747174486.9267068,0.3,"[1.2, 1.2, 1.1, 0.0]"
1747174489.9276245,1.7,"[0.0, 0.0, 0.0, 0.0]"
1747174492.9285243,1.2,"[2.5, 1.2, 3.1, 2.2]"
1747174495.9294167,1.5,"[1.1, 0.0, 0.0, 0.0]"
1747174498.930444,1.2,"[2.6, 3.8, 2.1, 2.2]"
1747174501.9313943,1.8,"[2.6, 3.8, 2.1, 0.0]"
1747174504.9322906,0.5,"[5.2, 1.3, 0.0, 1.1]"
1747174507.9331641,1.5,"[3.9, 5.2, 1.1, 0.0]"
1747174510.9340754,1.0,"[3.4, 2.3, 0.0, 1.1]"
1747174513.935011,2.5,"[2.8, 4.1, 0.0, 0.0]"
1747174516.935923,1.9,"[2.0, 1.0, 1.0, 1.0]"
1747174519.9369102,4.0,"[4.3, 4.2, 0.0, 2.2]"
1747174522.9380236,2.2,"[3.2, 2.1, 2.1, 1.0]"
1747174525.9391341,5.7,"[7.1, 4.3, 0.0, 1.2]"
1747174528.9401526,3.8,"[6.9, 5.6, 4.3, 2.4]"
1747174531.941097,3.0,"[6.0, 5.9, 1.1, 2.2]"
1747174534.942126,3.5,"[9.0, 8.7, 1.1, 2.3]"
1747174537.9430704,0.7,"[6.6, 8.7, 0.0, 1.2]"
1747174540.9442225,4.7,"[10.4, 7.6, 0.0, 2.4]"
1747174543.9451318,1.4,"[1.0, 1.0, 1.0, 0.0]"
1747174546.9462745,7.7,"[13.6, 10.8, 1.2, 0.0]"
1747174549.9472907,6.4,"[1.0, 0.0, 2.0, 1.0]"
1747174552.948454,10.5,"[13.6, 16.9, 2.2, 1.2]"
1747174555.9494355,7.9,"[6.7, 9.2, 1.1, 3.4]"
1747174558.9504588,5.5,"[16.7, 16.7, 3.5, 1.2]"
1747174561.9516554,9.5,"[18.0, 15.6, 2.4, 3.7]"
1747174564.952722,0.8,"[22.1, 25.0, 1.1, 1.3]"
1747174567.9538443,11.2,"[20.3, 22.2, 4.3, 3.9]"
1747174570.95485,1.5,"[5.5, 7.5, 1.0, 0.0]"
1747174573.9559252,13.1,"[30.8, 31.8, 3.4, 4.9]"
1747174576.9568865,10.5,"[0.0, 1.0, 0.0, 0.0]"
1747174579.9579434,15.1,"[29.0, 32.8, 3.6, 2.6]"
1747174582.958994,15.6,"[7.3, 9.6, 1.1, 2.2]"
1747174585.960166,16.5,"[32.8, 38.2, 2.5, 5.6]"
1747174588.9614668,17.8,"[31.7, 33.9, 2.5, 2.9]"
1747174591.9627464,3.7,"[48.5, 43.3, 7.1, 4.8]"
1747174594.963934,21.5,"[43.9, 38.8, 2.4, 1.2]"
1747174597.964971,0.0,"[23.0, 26.1, 4.2, 4.5]"
1747174600.9659982,26.6,"[39.7, 50.7, 3.4, 3.9]"
1747174603.966934,10.9,"[0.0, 0.0, 2.0, 1.0]"
1747174606.968107,29.8,"[42.2, 57.1, 3.6, 4.9]"
1747174609.96935,26.2,"[6.4, 9.6, 2.1, 4.2]"
1747174612.9706507,33.8,"[51.6, 56.8, 6.2, 9.0]"
1747174615.9718764,28.0,"[45.1, 45.9, 3.7, 6.3]"
1747174618.9731135,14.2,"[56.1, 55.9, 3.8, 7.4]"
1747174621.9745069,30.3,"[56.5, 58.7, 8.5, 10.3]"
1747174624.9755678,0.7,"[45.1, 48.2, 5.8, 7.3]"
1747174627.9768896,35.3,"[65.3, 68.7, 7.5, 10.8]"
1747174630.97806,9.0,"[3.0, 4.0, 0.0, 0.0]"
1747174633.9793308,39.2,"[63.5, 74.1, 7.2, 4.2]"
1747174636.9803002,34.0,"[0.0, 0.0, 0.0, 0.0]"
1747174639.9816089,40.5,"[68.9, 71.6, 8.5, 14.3]"
1747174642.9828877,38.9,"[40.5, 44.0, 5.6, 10.0]"
1747174645.9841278,27.1,"[72.8, 81.3, 4.7, 14.7]"
1747174648.9854844,43.6,"[72.8, 79.8, 8.0, 10.6]"
1747174651.986577,0.5,"[79.1, 71.8, 4.9, 19.7]"
1747174654.9879231,45.5,"[79.5, 72.2, 11.8, 15.0]"
1747174657.9889524,1.3,"[20.0, 24.7, 4.1, 1.1]"
1747174660.9902663,47.8,"[79.3, 89.5, 12.8, 7.9]"
1747174663.9913118,32.5,"[0.0, 0.0, 0.0, 0.0]"
1747174666.992487,49.8,"[84.4, 84.6, 3.4, 18.6]"
1747174669.9935217,51.5,"[30.2, 29.5, 3.1, 9.2]"
1747174672.9948547,48.4,"[81.0, 86.7, 17.3, 12.7]"
1747174675.9964492,51.5,"[81.4, 85.1, 14.7, 9.1]"
1747174678.9977722,11.1,"[85.6, 85.1, 18.3, 18.8]"
1747174681.9991808,54.6,"[85.2, 84.8, 12.8, 12.9]"
1747174685.0001569,0.0,"[49.0, 49.0, 4.4, 14.3]"
1747174688.001562,56.8,"[91.7, 90.0, 11.8, 20.0]"
1747174691.002563,24.5,"[1.0, 1.0, 1.0, 2.0]"
1747174694.0037417,59.0,"[88.6, 92.5, 12.5, 21.1]"
1747174697.0048974,56.7,"[11.3, 13.1, 1.0, 2.1]"
1747174700.00631,60.5,"[96.9, 94.7, 19.5, 21.9]"
1747174703.007381,58.6,"[79.2, 76.8, 10.6, 14.7]"
1747174706.0085056,28.0,"[100.0, 98.0, 11.5, 6.4]"
1747174709.009894,59.3,"[99.0, 99.0, 6.2, 7.5]"
1747174712.011073,0.2,"[76.0, 74.2, 14.9, 10.7]"
1747174715.0127206,62.9,"[100.0, 98.0, 17.9, 13.0]"
1747174718.0141835,11.6,"[11.0, 11.0, 2.0, 2.1]"
1747174721.0160758,64.5,"[100.0, 99.0, 10.8, 19.4]"
1747174724.017244,54.8,"[0.0, 2.0, 2.0, 2.0]"
1747174727.018822,64.1,"[98.0, 95.9, 29.9, 11.0]"
1747174730.0200758,64.8,"[57.6, 54.6, 24.5, 14.8]"
1747174733.0213864,46.8,"[100.0, 99.0, 25.8, 11.4]"
1747174736.02294,63.2,"[100.0, 99.0, 23.9, 19.7]"
1747174739.0238924,0.5,"[0.0, 0.0, 0.0, 1.0]"
