type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,199.1,358.0,68.9,121.1,134.0,181.0,199.5,210.6,218.1,228.8,242.7,269.5,379.1,2328.3,16502.4,8215.8,8195
read,441.5,554.3,68.9,153.6,178.2,290.8,345.0,385.1,422.2,485.0,694.6,1475.2,3228.7,5433.6,8081.8,158591.6,158594
read,228.0,160.2,63.8,110.0,123.5,206.8,248.5,272.7,291.1,313.1,342.3,391.2,545.1,1788.7,4626.7,149927.5,149766
read,185.8,146.5,68.9,113.9,128.7,178.7,198.3,209.3,217.0,227.2,239.6,262.6,334.1,1081.1,9712.9,10422.3,10382
read,327.2,320.6,63.8,131.9,152.0,257.2,303.9,332.5,355.6,387.6,442.0,877.0,1595.6,3316.6,7432.3,170589.7,170548
read,205.1,142.8,63.8,102.4,113.2,180.7,220.9,246.3,265.6,288.7,317.9,362.3,469.4,1996.1,4369.3,150668.9,150565
read,202.1,131.0,63.8,99.2,109.4,175.6,218.2,245.4,265.6,289.4,318.6,363.1,485.0,1676.2,3914.2,137102.5,137144
read,202.9,137.4,63.8,99.9,110.3,176.9,218.5,245.0,264.9,288.3,317.8,361.7,470.3,2101.2,3539.4,143465.9,143496
read,204.5,144.2,63.8,101.0,111.4,178.4,219.5,245.8,265.6,289.1,318.4,363.9,490.7,1890.3,4448.2,144829.0,144743
read,200.0,117.2,59.1,96.3,105.4,173.1,221.2,250.6,271.2,295.3,324.3,366.6,477.8,1243.1,3376.3,116779.5,116745
read,201.3,126.1,63.8,97.6,107.4,173.8,218.4,246.5,267.2,291.5,321.2,365.1,490.7,1559.6,3382.3,129298.7,129314
read,204.2,140.6,63.8,100.6,111.0,178.0,219.0,245.1,264.9,288.1,317.7,363.0,493.9,1983.6,4162.0,144728.0,144723
read,202.4,124.3,63.8,97.3,106.7,175.0,223.3,252.4,273.1,297.2,326.7,368.8,483.6,1392.6,3774.0,117515.9,117379
read,201.2,132.5,63.8,96.9,106.3,173.6,220.8,249.9,270.5,294.7,324.0,366.4,477.2,1551.6,4375.1,119908.6,119931
read,204.0,192.9,63.8,99.0,109.1,175.9,220.0,247.9,268.4,292.7,322.6,367.8,502.4,1627.7,3504.9,132034.8,132052
read,203.5,130.4,59.1,100.2,110.6,177.5,219.4,245.9,265.9,289.8,319.4,363.6,479.1,1707.8,3393.6,143296.1,143350
read,205.5,144.6,63.8,100.5,110.9,178.5,220.3,246.9,266.8,290.4,320.5,366.5,504.0,2045.2,4156.9,143503.6,143518
read,218.9,158.4,63.8,110.6,123.4,197.3,235.7,260.0,277.6,299.7,328.7,374.2,497.3,1885.7,5151.0,173024.2,172981
read,202.6,120.5,59.1,95.1,103.8,177.5,231.7,260.4,279.3,301.2,327.8,365.7,460.8,1163.5,3587.5,93988.9,94027
read,215.5,148.0,63.8,108.8,120.9,192.8,231.1,254.6,272.6,294.4,323.4,370.0,501.6,2172.2,5249.2,169967.9,170019
read,227.0,163.9,63.8,114.4,128.7,205.0,243.8,267.5,285.5,307.6,337.2,386.7,530.0,1854.0,5583.3,179068.8,179090
read,228.6,158.4,59.1,95.7,106.2,214.4,261.0,287.2,306.3,328.3,354.6,394.8,526.5,1505.4,4395.4,47023.9,47130
read,202.1,93.3,63.8,102.7,118.4,197.2,224.7,238.9,249.8,262.5,278.1,306.7,383.5,1092.4,3174.4,19414.3,19439
read,310.8,385.6,63.8,103.8,116.6,209.1,260.1,292.1,317.9,355.9,458.6,1243.7,1707.4,3666.7,7933.4,128967.3,128963
read,206.5,180.3,63.8,104.8,118.5,200.6,227.2,241.3,251.8,264.8,281.4,310.4,380.4,1197.8,10847.8,23748.4,23787
read,243.3,236.7,63.8,94.1,103.6,216.8,275.5,311.5,335.9,362.4,394.3,445.0,722.3,2189.3,4179.2,61713.4,61848
read,219.4,160.4,63.8,97.3,107.0,183.3,238.4,271.0,294.2,321.5,358.2,422.9,654.2,1935.1,4250.0,101896.4,101968
read,203.9,132.9,63.8,97.2,106.7,177.5,227.8,257.4,277.9,302.2,331.2,372.2,484.5,1021.8,2920.3,108800.6,108767
read,203.8,126.6,63.8,96.4,105.5,178.6,232.1,261.7,281.4,303.8,331.1,369.3,464.3,910.7,2534.0,97357.8,97139
read,216.3,157.2,63.8,107.0,119.1,192.0,232.3,257.2,275.4,298.3,327.9,372.9,513.9,1862.0,5219.9,158697.1,158594
read,206.4,152.8,63.8,100.6,111.0,178.5,220.6,247.2,267.1,290.9,320.6,366.6,517.3,2122.2,4180.0,141349.2,141240
read,224.2,179.6,63.8,96.7,107.4,210.3,253.1,276.1,293.2,313.1,337.7,373.8,531.1,1641.4,9974.1,41405.8,41405
read,234.7,153.9,63.8,94.2,103.5,213.5,268.8,301.2,323.7,348.1,376.8,422.9,628.4,1715.8,3568.0,58145.7,57997
