#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      205.9    78.5    80.4   123.5   137.2   198.4   225.0   239.7   250.9   264.4   281.0   307.7   368.3   564.6  3017.2  29979.1    30000  1745017160331  1745017170488
read      237.8   284.2    74.4   121.5   134.4   195.9   224.3   240.1   252.3   267.5   288.4   328.7  1842.9  3186.7  6359.1  30047.4    30005  1745017172001  1745017182126
read      287.6   378.6    80.4   136.0   149.4   217.1   250.0   270.4   287.0   308.9   343.2   448.9  2213.6  5009.1  7173.3  30003.5    30010  1745017183638  1745017193736
read      244.4   277.3    80.4   129.5   142.0   205.5   233.9   251.4   264.8   281.0   304.3   348.4  1440.9  3602.7  6414.7  29898.9    30015  1745017195246  1745017205344
read      264.9   354.6    86.8   128.5   140.8   205.4   236.0   255.0   269.6   287.6   312.8   370.2  2141.2  4908.4  7082.3  30076.4    30020  1745017206855  1745017216956
read      263.8   354.4    80.4   125.6   138.7   203.1   234.2   253.8   269.1   287.8   313.6   370.5  2138.8  4828.8  7088.4  30055.1    30025  1745017218465  1745017228566
read      272.2   355.5    86.8   130.6   143.4   210.3   242.0   261.6   275.6   294.8   322.6   399.5  2155.3  4853.2  6439.0  30169.2    30030  1745017230077  1745017240176
read      271.0   358.6    80.4   129.3   142.0   209.6   242.7   263.3   278.6   297.9   327.6   401.6  2132.3  5072.3  6445.5  30054.6    30035  1745017241687  1745017251788
read      268.2   354.4    80.4   126.8   140.3   207.1   238.9   258.5   273.2   292.4   319.5   393.1  2155.9  4810.3  7270.5  29949.7    30040  1745017253300  1745017263399
read      269.1   350.5    80.4   127.3   140.8   208.7   242.4   263.1   278.3   297.2   324.9   395.9  2117.3  4773.4  8193.7  29995.2    30045  1745017264909  1745017275009
read      263.6   347.4    80.4   129.3   141.0   203.7   234.1   252.8   267.6   285.9   312.0   372.3  2145.8  4360.4  6432.1  30104.1    30050  1745017276520  1745017286619
read      269.6   528.5    80.4   122.4   138.0   205.2   235.7   254.8   269.7   288.3   315.3   386.7  2117.0  6024.0 27086.7  30158.4    30055  1745017288130  1745017298233
read      264.9   338.4    86.8   131.5   144.0   209.4   240.0   258.7   272.4   290.4   315.7   375.7  2099.3  4492.0  6499.7  30104.1    30060  1745017299745  1745017309846
read      263.5   334.1    80.4   129.3   142.3   206.9   237.6   256.6   271.2   290.0   316.3   386.1  2098.0  4142.2  6434.7  30058.2    30065  1745017311356  1745017321455
read      263.5   340.6    74.4   124.4   138.9   204.9   236.4   256.2   271.0   289.8   316.4   381.8  2096.6  4779.0  6409.7  30073.4    30070  1745017322965  1745017333064
read      268.5   363.3    80.4   128.6   141.0   206.0   237.3   256.8   271.6   290.5   317.5   387.8  2159.5  5014.0  6448.9  30096.0    30075  1745017334574  1745017344674
read      266.3   346.8    74.4   124.7   138.8   205.1   237.3   257.6   272.9   292.7   321.0   400.5  2120.8  4343.8  6457.8  30030.0    30080  1745017346185  1745017356287
read      272.6   373.3    80.4   126.0   140.1   206.9   240.2   260.8   275.9   295.8   326.2   414.7  2168.4  4956.8  8133.1  30079.9    30085  1745017357797  1745017367897
read      213.4   162.3    74.4   124.4   137.8   197.1   223.7   238.4   249.7   263.0   279.6   308.4   404.5  2688.6  6128.4  30109.8    30090  1745017369406  1745017379505
read      208.1    77.9    74.4   127.9   140.4   200.8   227.4   241.7   252.1   264.9   280.5   306.2   370.3   581.4  3158.7  30068.1    30095  1745017381014  1745017391112
read      205.3    86.0    74.4   123.9   137.4   197.4   223.9   238.0   249.0   261.6   276.9   303.0   365.6   772.7  3399.2  30123.5    30100  1745017392622  1745017402721
read      203.8    75.0    74.4   124.6   137.8   196.6   222.7   236.3   247.5   260.1   275.3   300.9   362.6   533.4  2350.2  30161.8    30105  1745017404231  1745017414333
