#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      206.6   124.5    68.9   111.9   124.2   202.2   221.9   232.8   241.4   251.8   267.0   292.1   394.5  1290.5  7268.5   4959.4     5000  1746382882194  1746382887401
read      215.8    73.4    63.8   119.7   141.1   213.1   232.6   244.3   252.6   263.8   276.9   302.8   393.5   933.5  2036.8  10000.6    10000  1746382888905  1746382894106
read      223.7   110.2    63.8   126.5   145.0   216.8   237.6   250.2   259.4   270.6   287.3   317.6   475.0  1683.2  2945.7  14969.4    15000  1746382895610  1746382900783
read      227.3    73.9    68.9   126.3   142.4   225.8   249.4   262.6   271.8   284.3   299.9   329.1   432.9   689.7  1781.4  19986.6    20000  1746382902287  1746382907462
read      234.1    85.2    63.8   127.3   141.0   234.8   261.0   274.0   284.5   295.6   312.3   339.2   426.8   729.3  2318.3  24969.0    25000  1746382908965  1746382914138
read      233.6    83.5    63.8   126.2   138.8   233.6   263.8   278.5   289.5   301.8   317.9   345.4   430.3   664.7  1725.4  29938.0    30000  1746382915642  1746382920816
read      231.2    84.1    63.8   124.7   136.5   230.5   263.1   278.5   289.7   302.5   318.6   346.6   429.5   649.7  2483.3  35028.0    35000  1746382922320  1746382927492
read      233.1    85.1    63.8   124.7   136.4   229.8   266.6   284.2   295.8   310.5   328.9   362.0   446.9   673.5  2020.5  39944.6    40000  1746382928996  1746382934171
read      239.1   167.4    63.8   123.6   134.9   231.7   271.7   290.6   303.6   318.1   339.0   373.6   477.6   908.6  9607.6  44995.8    45000  1746382935675  1746382940845
read      237.2   110.8    63.8   121.9   132.8   231.2   274.2   294.0   307.8   322.7   344.6   381.9   465.0   684.6  3811.2  50090.0    50000  1746382942350  1746382947522
read      235.4   106.9    59.1   122.3   133.1   224.3   270.7   292.3   307.1   323.1   345.7   385.5   471.8   685.6  2717.1  54926.8    55000  1746382949025  1746382954198
read      243.0   119.3    68.9   121.5   132.5   229.2   278.5   301.8   317.4   337.5   365.2   410.3   548.4   921.7  3094.4  60058.4    60000  1746382955702  1746382960874
read      241.9   109.1    68.9   120.6   131.8   227.1   277.9   302.3   318.9   340.5   369.5   413.8   522.5   733.1  2653.1  65198.4    65000  1746382962377  1746382967549
read      243.5   111.3    63.8   119.6   130.8   226.9   279.5   305.1   322.5   345.4   376.9   424.6   548.2   816.4  1594.8  70101.6    70000  1746382969053  1746382974227
read      247.5   124.7    68.9   121.7   132.9   226.6   279.8   307.3   326.9   352.0   385.8   435.7   579.2   986.4  2766.1  75061.4    75000  1746382975732  1746382980903
read      243.0   106.1    63.8   120.3   131.5   222.4   275.0   302.8   322.5   348.6   383.3   433.9   556.2   796.9  1670.6  79848.6    80000  1746382982408  1746382987582
read      241.3   116.1    68.9   119.7   130.9   221.1   274.3   302.5   321.8   347.3   381.2   428.0   532.5   705.9  2267.2  84935.4    85000  1746382989086  1746382994260
read      244.8   122.2    68.9   120.9   132.4   221.4   273.7   302.8   324.0   351.6   387.6   440.1   579.4   942.1  2101.8  90026.0    90000  1746382995764  1746383000937
read      244.8   129.9    74.4   122.0   133.8   222.1   273.4   302.4   323.3   351.4   387.5   436.5   546.2   770.3  4460.6  94802.5    95000  1746383002442  1746383007613
read      247.6   116.0    63.8   123.9   136.2   225.1   276.7   306.5   329.0   357.2   392.4   441.9   547.3   730.7  2168.4 100233.7   100000  1746383009117  1746383014289
read      261.5   143.9    74.4   127.6   140.5   232.9   286.4   317.6   342.8   373.8   413.6   474.5   663.5  1267.7  3944.9 104924.8   105000  1746383015793  1746383020967
read      260.0   127.5    68.9   130.5   144.4   235.5   288.2   319.5   344.2   372.8   407.6   460.4   584.1   808.2  2949.0 109945.0   110000  1746383022471  1746383027645
read      266.3   113.9    74.4   134.4   149.4   242.6   294.8   327.1   351.8   380.2   415.8   468.0   594.5   819.3  1851.0 115018.1   115000  1746383029149  1746383034323
read      260.3   125.4    68.9   134.0   148.7   237.7   287.6   317.6   340.6   367.9   401.1   451.5   566.9   801.4  3999.0 119926.2   120000  1746383035828  1746383041002
read      288.7   128.5    68.9   144.4   162.2   264.2   319.1   353.1   377.1   404.5   440.4   499.3   666.2  1090.4  2757.9 125022.2   125000  1746383042507  1746383047682
read      339.6   150.9    63.8   167.4   190.8   315.0   377.4   412.4   437.5   468.0   508.4   580.0   779.4  1363.8  3687.4 129913.3   130000  1746383049185  1746383054357
read      304.8   123.5    74.4   159.8   180.1   287.6   339.9   369.7   391.2   416.3   448.7   498.8   614.8   851.2  3149.1 135019.6   135000  1746383055861  1746383061035
read      502.7   186.1    93.8   284.1   313.3   438.6   592.1   655.1   688.7   721.3   755.7   801.6   890.9  1151.1  4179.6 128073.0   140000  1746383062540  1746383067713
read      431.2   159.9    93.8   232.3   260.3   413.0   502.5   541.4   566.9   593.3   626.6   672.5   750.3   907.0  4569.1 142140.3   145000  1746383069217  1746383074400
read      482.9   185.9    74.4   265.2   294.5   431.6   574.9   626.4   655.6   684.2   718.2   762.1   864.8  1263.9  4347.5 133105.5   150000  1746383075904  1746383081075
read      490.7   185.8   101.3   277.0   304.9   430.7   580.9   639.7   670.4   701.5   735.1   782.9   867.8  1076.6  3689.3 131465.7   155000  1746383082579  1746383087751
read      497.6   184.0   101.3   280.7   309.9   437.5   581.9   644.3   677.7   711.7   746.2   796.7   890.8  1092.6  4132.8 129747.2   160000  1746383089256  1746383094431
read      496.2   186.2   109.4   280.4   309.5   433.8   582.9   646.1   678.8   712.1   745.8   794.4   873.5  1087.6  4871.6 130129.5   165000  1746383095935  1746383101112
read      488.2   182.0    80.4   270.5   300.7   435.1   569.8   627.1   660.3   693.3   731.7   784.2   885.3  1173.2  3929.7 132231.5   170000  1746383102616  1746383107791
read      475.2   169.2   101.3   263.5   292.0   435.2   557.1   607.9   637.5   668.8   703.2   747.5   846.3  1010.3  2981.8 135778.5   175000  1746383109295  1746383114470
read      493.2   192.6    80.4   275.8   304.0   436.5   582.6   638.6   669.4   700.7   735.1   784.8   873.4  1126.2  6391.0 130929.8   180000  1746383115973  1746383121146
read      470.9   182.9   101.3   258.7   286.1   431.9   556.9   604.7   632.1   661.5   692.0   739.4   845.8  1126.0  4669.0 137007.0   185000  1746383122650  1746383127823
read      500.5   189.9    80.4   279.1   310.4   443.6   579.6   644.4   679.5   715.1   751.8   802.2   903.3  1109.5  4590.7 129026.9   190000  1746383129328  1746383134502
