#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      197.0    97.9    86.8   137.1   147.7   189.3   205.9   215.8   223.4   232.1   244.5   265.0   327.5   947.3  3370.6   4929.2     5000  1747305916739  1747305921991
read      201.5    63.6    80.4   129.7   144.5   197.9   216.0   226.6   233.8   243.7   255.0   275.9   329.0   905.7  2118.2  10002.6    10000  1747305923494  1747305928731
read      211.6    71.0    74.4   127.0   142.1   209.6   230.9   242.8   251.5   262.5   275.0   296.8   347.9   858.7  2541.8  15009.2    15000  1747305930234  1747305935431
read      220.2    71.3    74.4   121.1   136.5   219.1   244.5   259.0   269.4   281.6   296.1   320.0   373.6   856.4  1740.5  20088.4    20000  1747305936934  1747305942134
read      219.4    83.0    68.9   117.0   130.5   218.0   246.7   262.5   273.1   286.2   301.7   327.1   382.4   627.0  2901.6  25043.4    25000  1747305943636  1747305948833
read      221.0    86.2    74.4   114.2   127.1   219.6   251.7   268.5   280.2   293.9   311.9   337.8   391.5   528.3  2567.9  29960.0    30000  1747305950335  1747305955533
read      223.7    89.8    68.9   111.3   122.9   221.8   257.9   276.2   289.6   304.6   322.0   348.9   406.0   539.5  2640.1  35105.2    35000  1747305957037  1747305962234
read      224.8    98.1    68.9   108.6   120.6   220.6   260.9   281.5   295.0   311.4   331.5   361.7   423.3   527.3  2890.2  39882.0    40000  1747305963737  1747305968934
read      225.5   101.9    68.9   108.5   119.4   219.0   263.4   285.7   300.2   317.0   337.8   367.8   431.7   548.9  3629.7  45036.0    45000  1747305970437  1747305975637
read      225.1    91.4    68.9   106.4   117.4   217.6   264.6   288.0   303.7   321.0   342.7   373.1   435.7   541.3  1251.7  50006.8    50000  1747305977140  1747305982339
read      224.5    98.1    68.9   105.1   115.7   215.5   264.4   289.4   306.0   323.9   344.7   375.1   438.4   547.5  2289.0  54901.8    55000  1747305983842  1747305989042
read      229.8   109.4    68.9   105.0   115.6   217.9   270.2   297.2   315.7   336.1   360.7   395.8   464.8   593.9  2335.4  59957.0    60000  1747305990545  1747305995744
read      233.5   102.4    68.9   105.6   116.5   219.1   276.4   305.3   324.3   345.1   371.0   408.5   484.9   610.0  1276.8  65128.4    65000  1747305997247  1747306002446
read      226.8   104.7    63.8   103.3   113.8   210.9   266.6   295.8   315.1   336.5   362.2   398.9   470.9   625.2  1887.5  69831.0    70000  1747306003949  1747306009147
read      232.3   120.0    68.9   103.5   114.2   216.1   274.4   304.8   324.8   346.5   373.5   413.6   493.3   623.3  1778.8  75068.8    75000  1747306010650  1747306015849
read      228.8   111.5    68.9   102.3   112.4   211.5   269.4   300.2   320.6   342.8   369.4   407.4   489.3   694.5  2477.3  79971.8    80000  1747306017351  1747306022551
read      236.0   119.6    68.9   104.4   114.9   211.0   274.2   309.3   333.0   359.2   390.8   435.9   541.5   800.9  2194.6  84945.8    85000  1747306024054  1747306029251
read      225.5   115.0    68.9   101.6   111.5   204.2   263.9   296.6   318.8   342.8   370.6   409.9   490.9   641.9  1949.2  89936.4    90000  1747306030755  1747306035955
read      234.7   127.2    68.9   103.9   114.4   206.7   270.9   307.5   332.2   359.4   391.6   436.9   543.9   850.8  3374.9  94820.2    95000  1747306037458  1747306042660
read      239.6   128.1    68.9   105.6   116.2   207.5   274.2   314.5   341.4   370.7   405.0   459.8   587.2   786.9  2417.4 100295.0   100000  1747306044163  1747306049362
read      239.6   123.3    63.8   105.9   117.0   206.9   273.3   314.0   340.9   370.7   405.5   460.6   589.9   805.3  1927.2 105077.9   105000  1747306050866  1747306056066
read      269.0   171.4    63.8   109.5   121.7   219.9   294.2   344.6   379.9   419.9   472.0   569.9   818.1  1437.3  2236.1 110153.4   110000  1747306057568  1747306062768
