#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      177.8    90.4    74.4   106.3   117.4   171.8   190.8   201.4   209.8   218.5   232.6   255.0   316.7   964.6  3119.2   4944.0     5000  1747174443350  1747174448576
read      193.8    66.7    68.9   112.6   127.2   189.8   211.2   223.1   231.7   242.7   257.0   282.7   342.3   845.5  2290.1   9946.6    10000  1747174450079  1747174455297
read      198.7    67.1    63.8   112.9   127.8   195.2   217.6   230.3   239.3   250.9   266.3   290.6   353.3   830.9  2163.3  14929.2    15000  1747174456801  1747174461986
read      201.6    62.2    63.8   112.0   125.6   199.5   223.1   235.3   245.9   257.7   273.4   299.3   362.6   510.5   922.7  19931.4    20000  1747174463490  1747174468678
read      210.1    79.7    63.8   110.4   123.7   208.8   235.4   250.4   261.1   273.2   290.3   316.0   374.2   652.2  2696.5  25082.2    25000  1747174470182  1747174475367
read      211.0    81.2    63.8   109.3   121.8   210.2   238.7   253.8   265.3   277.9   294.7   320.8   382.3   523.8  3814.3  29945.4    30000  1747174476871  1747174482057
read      212.5    80.6    63.8   109.3   120.5   211.9   242.2   257.8   269.2   282.8   300.0   327.9   389.5   601.8  2396.7  35129.4    35000  1747174483561  1747174488747
read      212.7    74.9    63.8   106.6   117.9   214.2   246.1   261.9   272.5   286.2   303.4   332.2   395.9   514.0  1188.4  40010.0    40000  1747174490251  1747174495436
read      217.3    83.8    63.8   106.5   118.0   217.7   253.7   270.9   283.1   296.5   315.7   344.3   404.8   534.6  1759.2  45074.8    45000  1747174496940  1747174502127
read      214.5    85.2    63.8   105.0   116.1   212.8   250.4   267.8   279.7   293.7   312.5   341.7   415.7   728.1  1862.9  49932.4    50000  1747174503631  1747174508818
read      213.2    85.5    63.8   104.8   115.3   208.6   251.1   270.2   283.2   297.1   316.1   344.4   406.5   540.8  1954.1  54960.0    55000  1747174510322  1747174515510
read      210.8    91.5    68.9   102.3   112.7   204.2   248.5   268.2   281.5   296.1   315.8   345.2   411.8   565.7  1885.2  60119.4    60000  1747174517015  1747174522204
read      213.9   100.3    63.8   104.5   114.7   201.8   250.2   271.9   286.4   302.4   322.1   355.4   432.4   995.8  2328.1  65034.8    65000  1747174523707  1747174528894
read      211.5   104.8    63.8   101.5   111.8   199.6   249.8   271.6   286.1   302.1   321.7   354.2   421.8   620.4  3571.5  69952.4    70000  1747174530397  1747174535585
read      210.4    92.6    63.8   103.3   113.0   193.3   246.7   272.0   288.2   306.0   327.5   360.8   429.5   640.1  1992.0  75133.8    75000  1747174537089  1747174542276
read      209.1    96.2    63.8   103.3   113.0   191.4   244.5   270.1   286.3   304.0   325.4   358.2   424.4   540.1  2719.7  80019.6    80000  1747174543781  1747174548966
read      209.6    91.7    63.8   102.5   112.4   191.0   245.8   272.6   289.4   307.6   329.4   361.8   428.2   577.1  1987.7  85167.4    85000  1747174550469  1747174555656
read      204.9    90.7    63.8   102.3   111.9   184.1   235.9   264.1   281.9   301.2   323.7   358.2   427.6   574.6  2288.0  89948.4    90000  1747174557160  1747174562348
read      205.9    96.8    63.8   102.9   112.6   185.0   235.8   264.5   282.6   302.3   325.3   359.9   432.3   656.2  1516.3  94877.5    95000  1747174563852  1747174569040
read      207.4   105.8    63.8   104.1   113.9   185.4   236.4   265.8   284.4   304.3   327.4   361.6   433.4   700.0  2925.4  99900.2   100000  1747174570546  1747174575733
read      204.7   102.4    63.8   103.9   113.5   181.5   229.1   258.7   278.2   298.9   323.4   360.7   443.7   805.1  2977.9 104806.2   105000  1747174577237  1747174582424
