#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      181.2   103.1    74.4   119.9   132.1   173.3   190.3   200.1   208.1   217.1   230.7   252.5   322.6  1026.3  4209.3   8154.7     8195
read      433.1   599.3    68.9   148.6   172.5   271.2   316.8   349.6   381.2   433.0   605.7  1485.9  3349.6  5965.6  8088.9 158445.3   158594
read      218.7   138.4    63.8   108.8   120.6   195.6   237.3   263.4   282.1   304.1   332.1   375.6   517.0  1799.3  4522.0 149766.1   149766
read      181.5   101.9    68.9   114.4   128.7   173.4   191.7   201.8   210.3   219.3   233.2   257.4   334.7  1144.5  3366.7  10399.4    10382
read      346.6   328.9    68.9   143.0   164.8   268.9   317.1   348.1   374.0   410.7   473.0  1125.4  1597.7  3328.5  7518.0 170601.6   170548
read      211.4   125.2    63.8   106.3   117.6   186.9   228.0   254.0   273.5   296.6   325.5   369.8   505.6  1657.4  3293.8 150564.2   150565
read      206.6   131.2    63.8   102.4   112.7   180.2   223.1   251.1   271.8   295.8   324.2   366.5   492.5  1630.6  4329.6 137275.0   137144
read      211.5   143.8    63.8   104.1   114.8   183.5   226.5   254.1   274.5   298.2   327.2   370.7   529.5  2000.1  3541.2 143449.9   143496
read      211.7   146.0    63.8   104.9   115.7   184.4   226.8   253.9   274.1   297.6   326.6   370.0   515.8  2085.2  4282.6 144561.5   144743
read      206.6   131.4    63.8    99.5   109.3   178.0   227.1   258.4   280.2   304.7   333.1   373.8   507.2  1326.2  3404.0 116835.8   116745
read      209.5   140.5    63.8   101.3   111.4   179.9   225.4   255.1   276.7   301.3   330.5   373.6   552.0  1918.2  3477.6 129238.7   129314
read      211.7   136.8    63.8   105.0   115.9   184.7   227.3   254.7   275.1   299.4   329.7   374.6   532.4  1744.1  3630.4 144503.9   144723
read      207.1   127.6    63.8    99.4   109.2   178.0   226.7   257.6   279.7   304.3   333.3   376.3   530.5  1464.5  3650.0 117458.7   117379
read      206.4   133.9    63.8    99.2   108.9   176.8   225.2   256.2   278.1   302.3   330.6   372.6   540.2  1466.7  3754.6 119829.6   119931
read      208.9   146.4    63.8   101.9   112.0   180.0   224.7   253.5   274.8   299.7   329.6   373.0   535.7  1872.5  4468.8 132074.1   132052
read      207.3   154.4    63.8   103.4   114.0   181.2   223.0   250.4   271.0   295.0   323.7   366.6   487.8  1744.6  4618.2 143070.5   143350
read      210.1   137.5    63.8   103.6   114.3   182.6   225.1   252.5   272.9   296.7   326.2   371.2   535.8  2006.6  3845.1 143518.9   143518
read      220.6   127.4    63.8   113.3   126.7   199.4   238.1   262.6   280.4   302.2   330.7   376.2   507.2  1571.6  4095.2 173016.4   172981
