Timestamp start: 1747260492671
Timestamp end: 1747261392963

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      200.6   133.9    80.4   128.7   140.0   188.0   210.4   222.9   231.3   241.5   254.1   275.6   360.3  2228.3  3471.3   8127.5     8195
read      404.8   548.3    68.9   147.1   169.2   271.5   317.9   348.9   375.9   417.9   505.8  1392.2  3269.1  5432.7  8070.5 158542.5   158594
read      211.5   131.1    59.1   105.5   116.8   186.5   229.0   255.5   275.0   298.0   328.2   372.7   485.3  1734.6  3631.8 149788.7   149766
read      203.8   189.9    74.4   126.8   139.6   193.6   217.4   229.8   238.1   249.0   262.7   283.9   344.3  1432.1 10479.2  10345.3    10382
read      367.7   350.1    68.9   152.0   174.9   279.0   329.1   362.2   390.0   430.1   511.3  1261.5  1615.7  3472.8  7523.0 170241.9   170548
read      210.4   131.5    63.8   105.3   116.5   185.2   226.9   252.9   272.4   295.4   325.4   371.0   489.8  1707.1  3676.0 150357.6   150565
read      205.3   124.9    63.8   101.1   111.3   177.8   222.1   251.4   272.6   297.1   328.8   373.5   475.5  1598.2  3216.0 137038.5   137144
read      210.4   180.9    63.8   102.6   113.1   181.2   225.0   253.0   273.6   297.7   329.1   374.5   497.2  2200.7  6630.2 143458.4   143496
read      207.8   143.4    63.8   103.1   113.6   180.5   223.6   251.5   271.9   295.8   326.3   371.5   484.7  1841.8  4185.2 144733.6   144743
read      205.1   138.0    63.8    97.7   107.3   175.9   226.6   258.8   280.8   305.9   336.7   379.5   477.8  1242.8  3291.5 116720.8   116745
read      212.2   151.7    63.8   100.5   110.9   182.2   229.5   259.2   280.6   305.9   338.3   387.1   523.3  2090.4  5232.6 129380.8   129314
read      211.7   144.7    63.8   103.4   114.2   183.4   227.6   255.5   275.8   299.9   331.0   376.4   504.6  2127.3  3959.7 144732.4   144723
read      208.0   136.5    63.8    98.6   108.5   177.8   228.2   260.3   282.5   307.6   339.1   383.9   494.7  1713.3  3514.3 117479.3   117379
read      209.8   130.5    63.8    98.6   108.5   177.9   228.4   260.7   283.4   309.3   342.1   390.1   579.5  1582.7  3337.6 119842.0   119931
read      207.8   132.8    63.8   100.7   110.8   178.5   224.8   254.9   276.6   301.7   333.1   378.1   500.1  1832.7  3221.3 132048.3   132052
read      206.2   137.0    63.8   101.8   112.3   179.4   222.4   250.3   270.9   294.6   324.5   370.4   477.9  1782.8  4345.0 143337.4   143350
