type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,ts_start,ts_end
read,189.7,84.3,74.4,114.9,125.7,179.9,204.1,218.0,228.4,240.2,255.4,281.8,367.3,1188.2,2568.8,29911.7,30000,1747227281708,1747227291839
read,196.0,137.4,74.4,116.8,126.5,178.8,203.5,218.3,229.5,242.5,259.3,288.0,492.1,1998.9,3232.5,29996.0,30005,1747227293350,1747227303467
read,190.9,119.9,74.4,116.6,125.7,175.5,199.6,214.3,225.2,237.4,253.9,280.9,400.7,1989.5,3965.2,29941.1,30010,1747227304976,1747227315074
read,186.8,94.2,74.4,113.6,122.8,175.5,200.0,215.0,225.9,238.1,253.9,280.3,364.8,1317.7,2933.6,30067.8,30015,1747227316585,1747227326682
read,186.2,83.3,74.4,113.7,122.6,174.7,200.4,216.1,227.6,240.6,257.1,284.1,355.0,1107.0,2799.5,30101.2,30020,1747227328192,1747227338290
read,188.9,133.9,74.4,113.2,122.4,175.1,199.6,214.4,225.1,237.1,253.6,279.6,369.0,2135.5,4837.1,29990.9,30025,1747227339800,1747227349900
read,186.0,94.4,80.4,113.0,122.1,174.4,199.1,213.8,224.9,237.4,253.8,280.1,364.7,1322.7,3464.3,30023.3,30030,1747227351411,1747227361513
read,182.4,73.2,74.4,113.8,122.7,173.0,196.3,210.1,220.1,232.3,248.1,271.9,343.5,925.9,2296.5,29955.9,30035,1747227363023,1747227373121
read,184.5,103.5,74.4,114.1,123.0,173.1,196.6,210.8,221.2,233.6,249.8,273.7,356.4,1345.7,4746.2,30050.1,30040,1747227374630,1747227384727
read,187.1,118.1,74.4,113.7,122.8,174.2,198.3,212.9,223.5,235.2,251.6,275.5,363.8,1924.9,4214.9,30039.6,30045,1747227386238,1747227396335
read,194.9,146.9,74.4,114.9,124.4,177.8,203.0,218.4,229.7,242.6,259.0,287.9,427.5,2490.1,4806.1,30051.4,30050,1747227397845,1747227407942
read,185.6,72.3,68.9,114.5,125.2,178.6,201.6,215.2,224.9,235.4,250.4,272.4,339.3,609.0,2365.2,30059.9,30055,1747227409452,1747227419552
read,184.6,72.6,68.9,112.2,122.7,177.2,201.4,215.5,225.7,236.7,252.1,274.4,339.6,483.7,2425.8,30155.4,30060,1747227421062,1747227431160
read,184.4,70.7,74.4,112.4,123.1,177.0,201.1,215.2,225.2,235.8,251.2,273.7,336.8,504.1,2511.4,30004.8,30065,1747227432671,1747227442767
read,188.2,69.7,74.4,118.8,128.9,181.1,204.7,217.9,227.8,238.5,252.9,275.0,338.8,516.8,2831.6,30088.3,30070,1747227444278,1747227454375
read,184.7,84.2,74.4,114.0,124.7,176.9,200.1,214.0,224.0,234.8,249.9,272.0,333.2,533.5,4119.8,30111.7,30075,1747227455886,1747227465982
