type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,182.4,72.2,74.4,118.2,129.7,177.7,195.3,205.5,213.5,222.6,233.8,252.7,307.7,761.7,1959.2,5029.2,5000
read,198.0,78.4,68.9,115.4,130.0,195.5,216.7,228.4,235.9,247.2,261.0,284.6,338.5,516.9,3149.1,10081.4,10000
read,219.5,71.5,68.9,117.3,133.8,218.8,243.7,257.3,268.1,280.4,296.0,320.8,396.1,703.6,1906.0,14939.0,15000
read,235.7,98.6,68.9,115.0,131.6,234.4,265.5,282.4,294.4,309.2,326.8,355.5,431.4,694.9,3940.1,20106.2,20000
read,238.6,91.6,63.8,113.4,128.4,237.0,271.6,290.5,303.5,317.7,337.7,372.8,458.1,685.5,2094.0,24985.2,25000
read,240.5,91.3,63.8,110.6,125.2,236.9,275.0,295.5,309.8,325.8,347.0,391.2,480.3,684.4,1484.7,30011.0,30000
read,259.0,119.5,63.8,112.1,128.4,249.4,293.1,316.1,333.6,356.9,391.5,439.2,551.2,1548.2,2306.0,35090.2,35000
read,271.3,124.1,63.8,112.4,129.6,260.2,307.5,332.8,353.7,384.6,420.4,480.7,590.0,1094.9,2664.7,39903.4,40000
read,273.5,146.0,63.8,109.9,125.9,259.8,309.2,337.3,362.4,394.0,430.8,489.4,602.1,1240.6,5216.9,45002.8,45000
read,281.2,128.2,63.8,110.0,127.3,268.8,318.6,349.6,378.5,409.6,451.2,515.3,617.2,778.0,2311.2,49868.8,50000
read,281.7,133.2,63.8,109.7,126.3,267.6,319.6,353.1,382.8,415.3,455.9,512.6,619.0,788.2,3123.5,54908.2,55000
read,288.8,159.1,63.8,111.1,128.1,265.7,324.0,364.5,396.3,432.3,475.9,542.7,680.5,1293.6,3471.4,60099.8,60000
read,297.8,134.3,68.9,114.0,134.1,280.9,338.2,378.8,408.0,442.6,485.0,543.8,659.7,846.7,1228.6,64720.2,65000
read,344.0,180.9,63.8,124.3,150.6,312.2,387.4,434.1,469.0,509.1,560.3,646.6,873.4,1540.5,3575.8,69735.6,70000
read,765.6,360.2,68.9,257.8,375.8,747.7,793.5,821.7,849.9,890.2,1172.4,1459.3,1625.3,4831.9,7518.2,74787.2,75000
read,890.2,350.5,101.3,668.9,702.2,800.7,844.5,866.6,897.9,955.3,1415.3,1562.6,1726.9,7075.8,7516.5,73852.3,80000
