#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      217.3   286.0    63.8    97.4   107.5   155.8   173.6   184.8   194.7   208.6   239.5   561.1  1562.1  2500.0  7305.7   4955.4     5000
read      284.6   389.3    63.8   103.7   116.1   183.5   208.3   224.7   239.4   269.8   515.3  1106.0  1740.0  2738.7  7472.3   9956.2    10000
read      342.1   473.0    63.8   104.4   118.0   203.9   235.8   261.7   290.6   499.4   658.7  1518.7  2227.9  5004.9 11516.9  14992.0    15000
read      367.9   437.4    63.8   105.7   121.4   226.5   271.0   308.2   379.6   560.4   724.5  1525.6  2109.7  2766.9  7437.9  20094.4    20000
read      415.6   473.3    63.8   109.1   126.4   247.0   308.9   386.4   536.5   664.9   877.9  1573.3  2180.0  2757.5  7480.8  24935.0    25000
read      461.9   492.6    59.1   111.5   132.7   279.2   381.3   518.5   601.9   743.6  1123.7  1603.8  2224.1  2791.4  7537.9  29941.4    30000
read      526.4   535.0    59.1   116.1   142.0   321.6   491.8   601.8   718.4   881.3  1519.6  1656.7  2253.9  4996.2  7797.8  34909.2    35000
read     1774.0  1318.2    74.4   648.8   701.7   915.1  2652.2  2742.2  2811.7  2895.1  2978.4  3557.0  7628.1  8202.7 11066.1  38175.0    40000
read     1827.2  1282.7    86.8   675.8   719.8  1303.6  2588.7  2717.1  2800.3  2889.5  2978.7  3506.6  7682.9  8133.8 12122.4  37855.6    45000
read     1903.1  1290.6   101.3   713.9   758.5  1619.6  2614.6  2762.2  2838.0  2912.1  2986.2  3565.0  7738.0  8130.5 10562.6  36675.8    50000
read     1862.7  1277.3    80.4   700.0   741.6  1470.9  2615.2  2747.4  2825.1  2900.8  2976.6  3530.0  7685.5  8231.8 10277.3  37347.7    55000
read     1850.3  1271.3    80.4   699.3   738.4  1470.7  2600.0  2729.5  2810.6  2891.8  2973.1  3510.2  7671.5  8128.9 10479.5  37581.8    60000
read     1848.6  1280.7   101.3   700.5   738.6  1413.1  2605.8  2730.1  2810.5  2893.9  2977.2  3514.9  7690.0  9087.6 11809.5  37688.8    65000
read     1880.5  1294.6   118.1   703.0   744.8  1522.8  2621.7  2758.0  2833.9  2908.0  2982.1  3547.8  7704.4  8370.9 13354.4  37020.2    70000
read     1910.7  1290.7   101.3   715.0   759.4  1615.3  2633.4  2787.7  2856.1  2924.4  2993.2  3589.5  7714.3  8124.5 10164.6  36515.6    75000
read     1843.8  1266.1    74.4   693.0   732.1  1415.1  2587.8  2719.7  2803.2  2888.4  2973.7  3483.6  7655.6  8706.3 12370.9  37644.6    80000
