type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,174.8,66.9,68.9,111.4,122.3,170.9,188.6,199.0,206.7,215.9,228.6,249.1,296.6,374.5,2935.5,5033.2,5000
read,198.4,67.4,63.8,112.7,128.1,196.0,218.3,230.7,239.7,251.3,267.0,289.6,339.0,436.0,2765.1,10058.4,10000
read,217.0,73.8,63.8,111.1,126.8,215.6,242.5,257.7,268.7,281.4,297.0,323.4,384.2,681.7,1605.7,14931.6,15000
read,226.2,83.5,68.9,111.9,126.6,224.3,255.8,273.0,285.4,298.6,316.9,344.7,415.0,1031.9,1483.3,19989.4,20000
read,245.3,92.5,63.8,110.0,125.9,244.8,282.7,301.3,314.9,331.3,352.1,386.0,479.5,677.8,1816.2,24995.8,25000
read,251.3,101.7,63.8,110.2,126.3,249.1,290.6,311.5,326.0,343.1,366.4,402.3,508.1,681.1,2036.3,30090.7,30000
read,259.1,102.9,68.9,111.5,127.4,254.3,299.2,322.1,339.5,359.7,385.7,434.5,541.4,685.1,1572.8,34945.0,35000
read,271.2,183.0,68.9,110.2,126.9,262.5,309.9,335.1,353.3,374.2,405.7,471.3,578.2,803.6,10660.4,40039.8,40000
read,272.4,113.7,63.8,109.4,127.0,265.3,313.6,340.1,359.6,382.9,419.2,482.5,580.9,713.0,1393.5,44951.6,45000
read,279.2,123.7,63.8,112.4,129.6,266.9,317.7,347.1,369.3,397.1,444.7,508.3,621.8,847.3,1462.7,49858.8,50000
read,307.8,174.1,63.8,115.4,135.6,284.4,340.4,373.9,402.2,447.5,498.5,568.5,831.6,1592.3,4940.9,54857.1,55000
read,907.8,558.5,63.8,197.6,272.1,970.5,1051.1,1086.8,1116.3,1157.1,1220.9,1784.5,2193.0,7690.3,9050.9,59174.2,60000
read,1140.7,512.9,86.8,836.5,886.5,1050.2,1101.9,1142.7,1168.2,1206.5,1323.8,1960.4,2298.9,7865.2,8815.7,58700.5,65000
read,1120.3,493.6,109.4,821.6,874.4,1032.9,1085.5,1120.4,1151.7,1183.1,1303.0,1940.3,2241.3,7795.2,9182.3,59667.8,70000
read,1136.2,503.7,93.8,839.2,888.1,1048.8,1097.7,1136.4,1161.9,1187.4,1298.6,1958.9,2278.2,7860.8,8345.2,58936.0,75000
read,1135.1,506.6,80.4,837.7,886.3,1046.8,1097.8,1137.8,1164.0,1194.6,1302.6,1951.0,2278.5,7864.4,8860.7,58996.7,80000
