type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,269.4,426.4,63.8,109.5,120.0,164.3,183.1,195.6,206.2,224.0,444.1,1404.2,1850.0,6980.0,7524.3,4983.6,5000
read,325.9,455.8,63.8,110.6,124.9,193.0,221.6,242.3,261.7,337.1,584.8,1465.0,2389.8,4972.0,7502.6,9978.6,10000
read,371.5,491.6,59.1,111.2,126.5,216.1,253.7,281.8,320.8,534.7,712.7,1537.7,2439.6,3934.6,9382.8,14945.0,15000
read,397.3,467.5,63.8,110.5,126.8,236.8,286.0,329.7,482.0,613.0,822.8,1545.4,2166.9,2765.9,7540.2,19882.4,20000
read,437.5,482.9,68.9,110.5,129.1,264.6,332.8,461.2,556.0,691.3,1103.9,1573.4,2199.3,2872.2,7481.5,25030.8,25000
read,427.9,441.3,63.8,116.4,138.9,282.6,366.2,466.6,544.2,668.9,866.4,1519.9,1988.8,3010.2,7918.8,30079.0,30000
read,556.6,552.7,63.8,119.9,148.4,343.8,505.4,640.4,772.9,978.5,1539.2,1669.8,2351.4,6040.9,7823.2,34960.6,35000
read,1763.6,1315.6,68.9,601.8,683.7,915.5,2691.6,2809.9,2866.1,2922.3,2978.5,3569.6,7606.7,8122.5,10113.0,37794.7,40000
read,1902.5,1354.2,80.4,712.2,752.9,996.2,2786.0,2860.3,2906.7,2953.2,3115.8,3679.0,7722.0,8129.0,10156.6,36630.2,45000
read,1842.2,1305.4,101.3,694.8,727.0,1258.3,2633.8,2782.5,2850.2,2917.9,2985.7,3561.6,7676.9,9366.1,14682.2,37681.0,50000
read,1887.7,1344.9,86.8,708.3,749.7,983.5,2789.9,2860.4,2904.5,2948.5,2992.6,3664.2,7681.5,8314.0,12504.1,36705.2,55000
read,1894.8,1306.9,93.8,702.2,748.3,1506.0,2665.8,2809.2,2869.4,2929.5,2989.6,3600.7,7714.8,8127.2,10245.4,36783.2,60000
read,1880.9,1338.8,118.1,709.6,750.1,963.8,2767.9,2848.6,2898.0,2947.5,3091.1,3678.8,7668.2,8128.5,11423.3,36887.4,65000
read,1920.4,1304.0,93.8,729.9,766.6,1554.2,2701.7,2829.2,2884.1,2938.9,3007.1,3631.3,7701.2,8128.7,10736.8,36204.4,70000
read,1861.8,1331.7,101.3,702.8,738.0,939.7,2749.6,2839.4,2889.7,2940.1,2990.5,3646.2,7651.8,8206.0,10227.6,37270.6,75000
read,1894.7,1309.9,93.8,717.2,757.2,1467.5,2672.9,2815.7,2873.7,2931.6,2989.6,3609.7,7720.6,8355.2,10398.4,36808.0,80000
