type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,162.2,58.4,68.9,104.7,114.9,158.8,174.5,183.6,190.3,198.7,210.2,227.9,266.2,444.1,2664.7,5036.4,5000
read,194.0,92.6,68.9,106.5,121.1,190.3,212.4,224.9,233.8,245.4,259.5,281.7,331.7,1505.9,2992.5,10023.8,10000
read,203.4,62.9,63.8,108.7,122.1,203.3,228.5,242.2,251.9,263.9,277.9,299.6,349.2,496.8,1008.4,15115.8,15000
read,220.0,74.6,68.9,107.8,121.9,220.7,251.7,267.5,278.1,291.3,308.1,333.6,395.2,544.6,1017.9,20027.0,20000
read,229.3,93.2,63.8,108.3,122.1,228.8,263.8,281.6,293.7,308.3,325.7,354.8,431.3,740.6,1969.5,25138.2,25000
read,239.2,112.7,63.8,107.2,121.7,236.7,274.8,295.4,309.3,324.1,344.0,377.9,464.1,900.5,3468.2,29916.6,30000
read,246.1,101.6,63.8,107.0,121.8,244.2,285.8,306.7,321.0,339.3,363.0,404.8,487.7,639.9,2013.6,34923.0,35000
read,257.1,107.1,68.9,108.1,123.4,251.4,296.7,321.0,338.6,360.6,394.1,445.7,537.1,666.2,1284.6,39958.8,40000
read,259.2,110.8,63.8,108.4,123.2,250.7,298.3,324.0,343.0,367.8,406.3,458.0,549.3,684.9,1714.3,44964.0,45000
read,274.5,126.5,63.8,109.6,126.5,264.3,312.9,340.8,364.0,397.4,438.0,491.0,588.4,800.3,1953.4,49955.6,50000
read,298.0,172.4,63.8,112.5,131.5,274.2,327.6,362.3,394.6,432.6,475.2,542.8,878.7,1787.7,4110.4,55045.6,55000
read,1095.1,496.7,74.4,777.0,842.1,1023.5,1079.6,1111.7,1145.2,1178.7,1280.4,1902.7,2197.2,7776.3,8803.5,59400.2,60000
read,1117.6,675.8,86.8,805.6,860.1,1031.9,1084.6,1119.1,1151.4,1183.7,1315.7,1940.9,2250.6,7828.1,38227.9,59657.4,65000
read,1126.7,494.6,80.4,828.8,879.5,1037.8,1088.4,1124.4,1154.8,1185.2,1324.4,1953.1,2274.8,7795.9,8943.9,59261.8,70000
read,1139.0,511.3,86.8,837.3,886.5,1046.1,1096.1,1137.0,1165.0,1204.1,1343.6,1963.6,2303.0,7871.9,9347.5,58796.4,75000
read,1122.9,542.8,93.8,823.7,875.8,1035.4,1085.7,1119.3,1150.6,1181.9,1323.6,1948.7,2243.3,7854.4,19547.3,59476.9,80000
