type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,194.1,117.8,80.4,127.2,135.2,177.6,202.0,218.5,229.5,242.3,259.6,289.1,375.6,1352.0,6590.7,4997.4,5000
read,226.2,147.5,74.4,125.3,136.9,217.5,247.5,263.4,274.0,288.4,307.0,339.3,458.3,2226.5,7712.6,9905.4,10000
read,262.8,176.3,68.9,122.2,136.6,250.1,287.3,307.0,320.5,339.2,364.5,411.2,725.2,2355.2,7047.6,15002.6,15000
read,267.7,184.9,74.4,117.7,131.8,257.5,298.5,320.0,336.0,354.6,379.2,423.2,589.2,2636.2,7093.2,19936.8,20000
read,296.0,237.3,74.4,116.4,131.1,283.4,331.3,356.9,374.6,397.1,426.7,472.8,744.3,4045.1,7634.7,25099.0,25000
read,322.4,400.0,68.9,114.1,129.3,287.6,340.9,369.9,391.2,416.1,449.3,507.3,1190.8,7082.9,9684.9,29984.0,30000
read,309.9,285.0,74.4,112.9,128.4,291.2,350.6,382.8,405.2,432.2,465.5,520.2,747.9,4635.4,8129.2,34991.8,35000
read,307.1,264.7,68.9,111.1,126.3,285.9,348.5,383.8,408.2,437.6,474.0,534.4,790.9,2969.7,8087.5,40054.1,40000
read,309.0,232.3,68.9,110.1,125.8,288.0,354.1,392.2,419.9,452.0,492.2,552.4,766.6,2404.7,11523.1,44890.6,45000
read,377.5,472.0,68.9,114.5,134.6,315.4,396.0,443.7,479.0,524.0,591.0,753.3,1477.6,6292.5,21321.0,49934.2,50000
read,354.5,330.8,68.9,112.9,132.6,306.8,385.1,431.8,466.4,508.1,570.6,689.7,1262.2,4241.6,8118.8,54772.6,55000
read,375.1,330.0,68.9,114.4,135.4,312.1,394.8,447.1,486.5,540.3,634.3,833.4,1421.0,4624.0,7921.6,59925.0,60000
read,456.4,413.8,63.8,121.7,148.6,354.1,471.2,558.4,649.6,754.8,850.6,1004.5,1764.4,4996.8,8022.1,64770.6,65000
read,411.0,293.1,68.9,127.4,156.2,350.6,443.5,500.5,545.6,612.0,710.5,876.6,1405.0,3139.0,7457.8,69840.0,70000
read,335.9,234.6,68.9,118.4,140.3,295.5,375.9,423.7,458.3,498.8,550.1,640.3,1058.3,2567.8,7254.6,75064.6,75000
read,509.5,394.7,68.9,147.1,185.4,462.9,601.3,652.2,683.9,723.6,786.2,1092.7,1450.8,4700.3,12772.1,80007.2,80000
