type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,193.2,87.9,80.4,130.3,139.6,184.2,201.5,212.3,219.4,229.3,241.9,265.5,402.0,1426.9,3056.2,4939.2,5000
read,218.4,99.1,74.4,129.3,143.2,209.2,233.0,247.1,257.1,270.6,288.0,316.1,454.8,1554.0,2999.7,9942.0,10000
read,248.0,155.2,74.4,124.1,140.4,232.4,265.7,284.0,296.0,312.3,334.1,372.7,727.1,1952.3,3808.9,14969.4,15000
read,266.4,232.7,68.9,119.9,135.8,243.7,283.0,303.4,317.8,336.1,360.8,411.8,901.4,3528.9,7762.5,19994.2,20000
read,273.2,183.8,74.4,116.9,133.6,256.9,302.2,325.9,343.3,365.2,398.8,448.9,621.5,2724.8,5395.3,25022.8,25000
read,269.0,151.2,74.4,114.2,129.6,253.6,303.2,329.7,348.9,372.8,411.8,460.3,575.4,1821.6,4021.2,30009.8,30000
read,318.7,382.4,68.9,112.7,129.9,275.2,331.5,365.2,396.3,432.2,471.4,541.3,1060.3,7136.3,8664.1,35119.2,35000
read,314.7,346.3,68.9,111.3,127.7,274.1,331.6,367.8,403.1,438.0,476.8,541.8,1005.9,6521.5,8074.2,40049.8,40000
read,326.7,314.8,68.9,110.9,128.9,283.2,344.7,390.1,426.2,461.9,504.1,582.4,1146.7,4620.4,7968.9,44797.0,45000
read,336.8,338.0,68.9,111.0,129.6,287.7,353.7,405.5,441.5,478.6,527.6,628.2,1202.5,5305.6,8076.8,50074.6,50000
read,357.5,367.3,68.9,112.4,132.2,293.9,369.2,427.6,465.3,508.2,576.0,729.2,1493.3,5063.3,8135.2,55105.8,55000
read,358.4,266.6,68.9,119.2,144.9,315.9,395.9,445.4,477.9,516.1,569.5,678.9,1104.9,3624.0,7498.3,60173.6,60000
read,432.4,330.0,68.9,133.8,167.9,364.3,470.2,532.0,582.9,654.8,746.7,861.7,1518.2,4079.4,7857.9,65057.0,65000
read,623.5,415.2,74.4,190.9,246.7,595.5,733.3,781.3,810.2,851.1,922.5,1252.0,1696.1,5386.1,8099.6,69962.2,70000
read,936.1,391.0,93.8,714.8,751.3,841.2,872.5,907.1,929.8,988.4,1482.6,1640.4,1848.0,7198.1,8812.5,70296.8,75000
read,917.4,394.2,80.4,706.9,735.9,823.6,857.1,872.9,906.6,942.1,1446.4,1603.0,1812.7,7169.4,8008.2,71791.4,80000
